"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"new-orleans-catahoula","Catahoula","<p>Catahoula pattern from our New-orleans collection. Pattern #01-17-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/catahoula.jpg","1","Catahoula pattern thumbnail","Catahoula - New-orleans Collection | ColorFlex Wallpaper","Catahoula pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","catahoula","2","Stripes,24x24","24x24","straight","SW0055 LIGHT FRENCH GRAY,SW0053 PORCELAIN,SW2848 ROYCROFT PEWTER","01-17-106","17","106",""
"new-orleans-catahoula","Catahoula","<p>Catahoula pattern from our New-orleans collection. Pattern #01-17-106. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-17-106-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/catahoula.jpg","","","Catahoula - New-orleans Collection | ColorFlex Wallpaper","Catahoula pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","catahoula","2","Stripes,24x24","24x24","straight","SW0055 LIGHT FRENCH GRAY,SW0053 PORCELAIN,SW2848 ROYCROFT PEWTER","01-17-106","17","106",""
"new-orleans-catahoula","Catahoula","<p>Catahoula pattern from our New-orleans collection. Pattern #01-17-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-17-106-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/catahoula.jpg","","","Catahoula - New-orleans Collection | ColorFlex Wallpaper","Catahoula pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","catahoula","2","Stripes,24x24","24x24","straight","SW0055 LIGHT FRENCH GRAY,SW0053 PORCELAIN,SW2848 ROYCROFT PEWTER","01-17-106","17","106",""
"new-orleans-baton-rouge","Baton Rouge","<p>Baton Rouge pattern from our New-orleans collection. Pattern #01-17-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/baton-rouge.jpg","1","Baton Rouge pattern thumbnail","Baton Rouge - New-orleans Collection | ColorFlex Wallpaper","Baton Rouge pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","baton-rouge","3","Large Cameo,Small Cameo,Design","24x32","straight","SW2148 ROYCROFT PEWTER,SW0037 MORRIS ROOM GREY,SW0055 LIGHT FRENCH GRAY,SW0050 CLASSIC LIGHT BUFF","01-17-102","17","102",""
"new-orleans-baton-rouge","Baton Rouge","<p>Baton Rouge pattern from our New-orleans collection. Pattern #01-17-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-17-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/baton-rouge.jpg","","","Baton Rouge - New-orleans Collection | ColorFlex Wallpaper","Baton Rouge pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","baton-rouge","3","Large Cameo,Small Cameo,Design","24x32","straight","SW2148 ROYCROFT PEWTER,SW0037 MORRIS ROOM GREY,SW0055 LIGHT FRENCH GRAY,SW0050 CLASSIC LIGHT BUFF","01-17-102","17","102",""
"new-orleans-baton-rouge","Baton Rouge","<p>Baton Rouge pattern from our New-orleans collection. Pattern #01-17-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-17-102-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/baton-rouge.jpg","","","Baton Rouge - New-orleans Collection | ColorFlex Wallpaper","Baton Rouge pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","baton-rouge","3","Large Cameo,Small Cameo,Design","24x32","straight","SW2148 ROYCROFT PEWTER,SW0037 MORRIS ROOM GREY,SW0055 LIGHT FRENCH GRAY,SW0050 CLASSIC LIGHT BUFF","01-17-102","17","102",""
"new-orleans-orleans","Orleans","<p>Orleans pattern from our New-orleans collection. Pattern #01-17-117. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-117-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/orleans.jpg","1","Orleans pattern thumbnail","Orleans - New-orleans Collection | ColorFlex Wallpaper","Orleans pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","orleans","1","Pattern","24x18","straight","SC0001 COTTAGE LINEN,SW3174 LENNOX HILL TAN","01-17-117","17","117",""
"new-orleans-orleans","Orleans","<p>Orleans pattern from our New-orleans collection. Pattern #01-17-117. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-17-117-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/orleans.jpg","","","Orleans - New-orleans Collection | ColorFlex Wallpaper","Orleans pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","orleans","1","Pattern","24x18","straight","SC0001 COTTAGE LINEN,SW3174 LENNOX HILL TAN","01-17-117","17","117",""
"new-orleans-orleans","Orleans","<p>Orleans pattern from our New-orleans collection. Pattern #01-17-117. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-17-117-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/orleans.jpg","","","Orleans - New-orleans Collection | ColorFlex Wallpaper","Orleans pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","orleans","1","Pattern","24x18","straight","SC0001 COTTAGE LINEN,SW3174 LENNOX HILL TAN","01-17-117","17","117",""
"new-orleans-evangeline","Evangeline","<p>Evangeline pattern from our New-orleans collection. Pattern #01-17-110. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","new-orleans, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-17-110-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/new-orleans/thumbnails/evangeline.jpg","1","Evangeline pattern thumbnail","Evangeline - New-orleans Collection | ColorFlex Wallpaper","Evangeline pattern from our New-orleans collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","new-orleans","evangeline","2","Stripes,Design","24x24","straight","SW7069 IRON ORE,SW2848 ROYCROFT PEWTER,SW0053 PORCELAIN","01-17-110","17","110",""
