"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"botanicals-neptune-s-garden","Neptune's Garden","<p>Neptune's Garden pattern from our Botanicals collection. Pattern #01-06-109. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-109-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/neptune's-garden.jpg","1","Neptune's Garden pattern thumbnail","Neptune's Garden - Botanicals Collection | ColorFlex Wallpaper","Neptune's Garden pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","neptune's-garden","1","Pattern","24x24","half-drop","SW6214 UNDERSEAS,SC0001 COTTAGE LINEN","01-06-109","06","109",""
"botanicals-neptune-s-garden","Neptune's Garden","<p>Neptune's Garden pattern from our Botanicals collection. Pattern #01-06-109. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-109-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/neptune's-garden.jpg","","","Neptune's Garden - Botanicals Collection | ColorFlex Wallpaper","Neptune's Garden pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","neptune's-garden","1","Pattern","24x24","half-drop","SW6214 UNDERSEAS,SC0001 COTTAGE LINEN","01-06-109","06","109",""
"botanicals-neptune-s-garden","Neptune's Garden","<p>Neptune's Garden pattern from our Botanicals collection. Pattern #01-06-109. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-109-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/neptune's-garden.jpg","","","Neptune's Garden - Botanicals Collection | ColorFlex Wallpaper","Neptune's Garden pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","neptune's-garden","1","Pattern","24x24","half-drop","SW6214 UNDERSEAS,SC0001 COTTAGE LINEN","01-06-109","06","109",""
"botanicals-flowering-fern","Flowering Fern","<p>Flowering Fern pattern from our Botanicals collection. Pattern #01-06-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/flowering-fern.jpg","1","Flowering Fern pattern thumbnail","Flowering Fern - Botanicals Collection | ColorFlex Wallpaper","Flowering Fern pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","flowering-fern","3","Flowers,Fiddleheads,Ferns","24x24","straight","SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SW6138 ARTIFACT,SW7740 MESSENGER BAG","01-06-101","06","101",""
"botanicals-flowering-fern","Flowering Fern","<p>Flowering Fern pattern from our Botanicals collection. Pattern #01-06-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/flowering-fern.jpg","","","Flowering Fern - Botanicals Collection | ColorFlex Wallpaper","Flowering Fern pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","flowering-fern","3","Flowers,Fiddleheads,Ferns","24x24","straight","SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SW6138 ARTIFACT,SW7740 MESSENGER BAG","01-06-101","06","101",""
"botanicals-flowering-fern","Flowering Fern","<p>Flowering Fern pattern from our Botanicals collection. Pattern #01-06-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-101-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/flowering-fern.jpg","","","Flowering Fern - Botanicals Collection | ColorFlex Wallpaper","Flowering Fern pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","flowering-fern","3","Flowers,Fiddleheads,Ferns","24x24","straight","SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SW6138 ARTIFACT,SW7740 MESSENGER BAG","01-06-101","06","101",""
"botanicals-greenfields","Greenfields","<p>Greenfields pattern from our Botanicals collection. Pattern #01-06-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-111-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/greenfields.jpg","1","Greenfields pattern thumbnail","Greenfields - Botanicals Collection | ColorFlex Wallpaper","Greenfields pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","greenfields","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW7726 LEMON VERBENA","01-06-111","06","111",""
"botanicals-greenfields","Greenfields","<p>Greenfields pattern from our Botanicals collection. Pattern #01-06-111. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-111-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/greenfields.jpg","","","Greenfields - Botanicals Collection | ColorFlex Wallpaper","Greenfields pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","greenfields","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW7726 LEMON VERBENA","01-06-111","06","111",""
"botanicals-greenfields","Greenfields","<p>Greenfields pattern from our Botanicals collection. Pattern #01-06-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-111-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/greenfields.jpg","","","Greenfields - Botanicals Collection | ColorFlex Wallpaper","Greenfields pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","greenfields","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW7726 LEMON VERBENA","01-06-111","06","111",""
"botanicals-botanical-stems","Botanical Stems","<p>Botanical Stems pattern from our Botanicals collection. Pattern #01-06-108. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-108-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/botanical-stems.jpg","1","Botanical Stems pattern thumbnail","Botanical Stems - Botanicals Collection | ColorFlex Wallpaper","Botanical Stems pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","botanical-stems","1","Layer 1","24x24","half-drop","NAVAL,SC0001 COTTAGE LINEN","01-06-108","06","108",""
"botanicals-botanical-stems","Botanical Stems","<p>Botanical Stems pattern from our Botanicals collection. Pattern #01-06-108. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-108-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/botanicals/thumbnails/botanical-stems.jpg","","","Botanical Stems - Botanicals Collection | ColorFlex Wallpaper","Botanical Stems pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals","botanical-stems","1","Layer 1","24x24","half-drop","NAVAL,SC0001 COTTAGE LINEN","01-06-108","06","108",""
