"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"coverlets-adelphi","Adelphi","<p>Adelphi pattern from our Coverlets collection. Pattern #01-02-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/adelphi.jpg?v=1772317168","1","Adelphi pattern thumbnail","Adelphi - Coverlets Collection | ColorFlex Wallpaper","Adelphi pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","adelphi","2","Texture,Pattern","24x18","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-101","02","101",""
"coverlets-adelphi","Adelphi","<p>Adelphi pattern from our Coverlets collection. Pattern #01-02-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-02-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/adelphi.jpg?v=1772317168","","","Adelphi - Coverlets Collection | ColorFlex Wallpaper","Adelphi pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","adelphi","2","Texture,Pattern","24x18","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-101","02","101",""
"coverlets-adelphi","Adelphi","<p>Adelphi pattern from our Coverlets collection. Pattern #01-02-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-02-101-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/adelphi.jpg?v=1772317168","","","Adelphi - Coverlets Collection | ColorFlex Wallpaper","Adelphi pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","adelphi","2","Texture,Pattern","24x18","straight","SW6395 ALCHEMY,SW6135 ECRU,SC0001 COTTAGE LINEN","01-02-101","02","101",""
"coverlets-brimfield","Brimfield","<p>Brimfield pattern from our Coverlets collection. Pattern #01-02-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/brimfield.jpg?v=1772317193","1","Brimfield pattern thumbnail","Brimfield - Coverlets Collection | ColorFlex Wallpaper","Brimfield pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","brimfield","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW6244 NAVAL","01-02-102","02","102",""
"coverlets-brimfield","Brimfield","<p>Brimfield pattern from our Coverlets collection. Pattern #01-02-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-02-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/brimfield.jpg?v=1772317193","","","Brimfield - Coverlets Collection | ColorFlex Wallpaper","Brimfield pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","brimfield","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW6244 NAVAL","01-02-102","02","102",""
"coverlets-brimfield","Brimfield","<p>Brimfield pattern from our Coverlets collection. Pattern #01-02-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-02-102-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/brimfield.jpg?v=1772317193","","","Brimfield - Coverlets Collection | ColorFlex Wallpaper","Brimfield pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","brimfield","1","Pattern","24x24","straight","SC0001 COTTAGE LINEN,SW6244 NAVAL","01-02-102","02","102",""
"coverlets-charleston-bay","Charleston Bay","<p>Charleston Bay pattern from our Coverlets collection. Pattern #01-02-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/charleston-bay.jpg?v=1772317174","1","Charleston Bay pattern thumbnail","Charleston Bay - Coverlets Collection | ColorFlex Wallpaper","Charleston Bay pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","charleston-bay","2","Texture,Pattern","24x24","straight","SW3441 FOOTHILLS,SW3174 LENNOX HILL TAN,SC0001 COTTAGE LINEN","01-02-103","02","103",""
"coverlets-charleston-bay","Charleston Bay","<p>Charleston Bay pattern from our Coverlets collection. Pattern #01-02-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-02-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/charleston-bay.jpg?v=1772317174","","","Charleston Bay - Coverlets Collection | ColorFlex Wallpaper","Charleston Bay pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","charleston-bay","2","Texture,Pattern","24x24","straight","SW3441 FOOTHILLS,SW3174 LENNOX HILL TAN,SC0001 COTTAGE LINEN","01-02-103","02","103",""
"coverlets-charleston-bay","Charleston Bay","<p>Charleston Bay pattern from our Coverlets collection. Pattern #01-02-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-02-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/charleston-bay.jpg?v=1772317174","","","Charleston Bay - Coverlets Collection | ColorFlex Wallpaper","Charleston Bay pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","charleston-bay","2","Texture,Pattern","24x24","straight","SW3441 FOOTHILLS,SW3174 LENNOX HILL TAN,SC0001 COTTAGE LINEN","01-02-103","02","103",""
"coverlets-downing-1822","Downing 1822","<p>Downing 1822 pattern from our Coverlets collection. Pattern #01-02-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","coverlets, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-02-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/downing-1822.jpg?v=1772317172","1","Downing 1822 pattern thumbnail","Downing 1822 - Coverlets Collection | ColorFlex Wallpaper","Downing 1822 pattern from our Coverlets collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","coverlets","downing-1822","2","Texture,Pattern","24x20","straight","SC0001 COTTAGE LINEN,SW6135 ECRU,SW6244 NAVAL","01-02-104","02","104",""
