"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-102B-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bluebirds-on-ice.jpg?v=1771448961","1","Bluebirds On Ice pattern thumbnail","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B"
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-102B-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bluebirds-on-ice.jpg?v=1771448961","","","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B"
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-102B-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bluebirds-on-ice.jpg?v=1771448961","","","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B"
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-104B-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip-on-shell.jpg?v=1771448962","1","Pink Tulip On Shell pattern thumbnail","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B"
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-104B-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip-on-shell.jpg?v=1771448962","","","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B"
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-104B-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip-on-shell.jpg?v=1771448962","","","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B"
"abundance-white-doves-on-tobacco","White Doves On Tobacco","<p>White Doves On Tobacco pattern from our Abundance collection. Pattern #01-01-109B. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-109B-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/white-doves-on-tobacco.jpg?v=1771448963","1","White Doves On Tobacco pattern thumbnail","White Doves On Tobacco - Abundance Collection | ColorFlex Wallpaper","White Doves On Tobacco pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","white-doves-on-tobacco","0","","24x36","half-drop","","01-01-109B","01","109","B"
"abundance-white-doves-on-tobacco","White Doves On Tobacco","<p>White Doves On Tobacco pattern from our Abundance collection. Pattern #01-01-109B. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-01-109B-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/white-doves-on-tobacco.jpg?v=1771448963","","","White Doves On Tobacco - Abundance Collection | ColorFlex Wallpaper","White Doves On Tobacco pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","white-doves-on-tobacco","0","","24x36","half-drop","","01-01-109B","01","109","B"
"abundance-white-doves-on-tobacco","White Doves On Tobacco","<p>White Doves On Tobacco pattern from our Abundance collection. Pattern #01-01-109B. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-01-109B-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/white-doves-on-tobacco.jpg?v=1771448963","","","White Doves On Tobacco - Abundance Collection | ColorFlex Wallpaper","White Doves On Tobacco pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","white-doves-on-tobacco","0","","24x36","half-drop","","01-01-109B","01","109","B"
"abundance-pink-tulip","Pink Tulip","<p>Pink Tulip pattern from our Abundance collection. Pattern #01-01-104A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-01-104A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/pink-tulip.jpg?v=1771448963","1","Pink Tulip pattern thumbnail","Pink Tulip - Abundance Collection | ColorFlex Wallpaper","Pink Tulip pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","abundance","pink-tulip","0","","24x36","half-drop","","01-01-104A","01","104","A"
