"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"farmhouse-farmhouse-stripes","Farmhouse Stripes","<p>Farmhouse Stripes pattern from our Farmhouse collection. Pattern #01-05-130. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-130-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-stripes.jpg","1","Farmhouse Stripes pattern thumbnail","Farmhouse Stripes - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Stripes pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-stripes","2","Inside Stripe,Stripe Edge","24x24","straight","sw6395 ALCHEMY,SW6394 SEQUIN,SW7069 IRON ORE","01-05-130","05","130",""
"farmhouse-farmhouse-stripes","Farmhouse Stripes","<p>Farmhouse Stripes pattern from our Farmhouse collection. Pattern #01-05-130. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-130-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-stripes.jpg","","","Farmhouse Stripes - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Stripes pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-stripes","2","Inside Stripe,Stripe Edge","24x24","straight","sw6395 ALCHEMY,SW6394 SEQUIN,SW7069 IRON ORE","01-05-130","05","130",""
"farmhouse-farmhouse-stripes","Farmhouse Stripes","<p>Farmhouse Stripes pattern from our Farmhouse collection. Pattern #01-05-130. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-130-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-stripes.jpg","","","Farmhouse Stripes - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Stripes pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-stripes","2","Inside Stripe,Stripe Edge","24x24","straight","sw6395 ALCHEMY,SW6394 SEQUIN,SW7069 IRON ORE","01-05-130","05","130",""
"farmhouse-farmhouse-plaid","Farmhouse Plaid","<p>Farmhouse Plaid pattern from our Farmhouse collection. Pattern #01-05-128. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-128-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-plaid.jpg","1","Farmhouse Plaid pattern thumbnail","Farmhouse Plaid - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Plaid pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-plaid","2","Thick Plaid,Thin Plaid","24x24","straight","SW6035 ECRU,SW1472 Slate Tile,SW0006 Toile Red","01-05-128","05","128",""
"farmhouse-farmhouse-plaid","Farmhouse Plaid","<p>Farmhouse Plaid pattern from our Farmhouse collection. Pattern #01-05-128. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-128-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-plaid.jpg","","","Farmhouse Plaid - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Plaid pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-plaid","2","Thick Plaid,Thin Plaid","24x24","straight","SW6035 ECRU,SW1472 Slate Tile,SW0006 Toile Red","01-05-128","05","128",""
"farmhouse-farmhouse-plaid","Farmhouse Plaid","<p>Farmhouse Plaid pattern from our Farmhouse collection. Pattern #01-05-128. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-128-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-plaid.jpg","","","Farmhouse Plaid - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Plaid pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-plaid","2","Thick Plaid,Thin Plaid","24x24","straight","SW6035 ECRU,SW1472 Slate Tile,SW0006 Toile Red","01-05-128","05","128",""
"farmhouse-farmhouse-wycoff","Farmhouse Wycoff","<p>Farmhouse Wycoff pattern from our Farmhouse collection. Pattern #01-05-129. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-129-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-wycoff.jpg","1","Farmhouse Wycoff pattern thumbnail","Farmhouse Wycoff - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Wycoff pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-wycoff","1","Pattern","24x24","straight","SW6035 ECRU,SW3441 Foothills","01-05-129","05","129",""
"farmhouse-farmhouse-wycoff","Farmhouse Wycoff","<p>Farmhouse Wycoff pattern from our Farmhouse collection. Pattern #01-05-129. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-129-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-wycoff.jpg","","","Farmhouse Wycoff - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Wycoff pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-wycoff","1","Pattern","24x24","straight","SW6035 ECRU,SW3441 Foothills","01-05-129","05","129",""
"farmhouse-farmhouse-wycoff","Farmhouse Wycoff","<p>Farmhouse Wycoff pattern from our Farmhouse collection. Pattern #01-05-129. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-129-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-wycoff.jpg","","","Farmhouse Wycoff - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Wycoff pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-wycoff","1","Pattern","24x24","straight","SW6035 ECRU,SW3441 Foothills","01-05-129","05","129","""geometry-target-practice","Target Practice","<p>Target Practice pattern from our Geometry collection. Pattern #01-14-114. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-14-114-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/geometry/thumbnails/target-practice.jpg","1","Target Practice pattern thumbnail","Target Practice - Geometry Collection | ColorFlex Wallpaper","Target Practice pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","geometry","target-practice","1","Pattern","24x20","half-drop","SW0043 PERISTYLE BRASS,SW6990 CAVIAR","01-14-114","14","114",""
"geometry-target-practice","Target Practice","<p>Target Practice pattern from our Geometry collection. Pattern #01-14-114. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-14-114-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/geometry/thumbnails/target-practice.jpg","","","Target Practice - Geometry Collection | ColorFlex Wallpaper","Target Practice pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","geometry","target-practice","1","Pattern","24x20","half-drop","SW0043 PERISTYLE BRASS,SW6990 CAVIAR","01-14-114","14","114",""
