"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"bombay-andheri-star-flower","Andheri Star Flower","<p>Andheri Star Flower pattern from our Bombay collection. Pattern #01-08-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/andheri-star-flower.jpg","1","Andheri Star Flower pattern thumbnail","Andheri Star Flower - Bombay Collection | ColorFlex Wallpaper","Andheri Star Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","andheri-star-flower","1","Star Flower","24x24","straight","SW6395 ALCHEMY,SC0001 COTTAGE LINEN","01-08-101","08","101",""
"bombay-andheri-star-flower","Andheri Star Flower","<p>Andheri Star Flower pattern from our Bombay collection. Pattern #01-08-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-08-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/andheri-star-flower.jpg","","","Andheri Star Flower - Bombay Collection | ColorFlex Wallpaper","Andheri Star Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","andheri-star-flower","1","Star Flower","24x24","straight","SW6395 ALCHEMY,SC0001 COTTAGE LINEN","01-08-101","08","101",""
"bombay-andheri-star-flower","Andheri Star Flower","<p>Andheri Star Flower pattern from our Bombay collection. Pattern #01-08-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-08-101-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/andheri-star-flower.jpg","","","Andheri Star Flower - Bombay Collection | ColorFlex Wallpaper","Andheri Star Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","andheri-star-flower","1","Star Flower","24x24","straight","SW6395 ALCHEMY,SC0001 COTTAGE LINEN","01-08-101","08","101",""
"bombay-bombay-ticking","Bombay Ticking","<p>Bombay Ticking pattern from our Bombay collection. Pattern #01-08-130. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-130-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-ticking.jpg","1","Bombay Ticking pattern thumbnail","Bombay Ticking - Bombay Collection | ColorFlex Wallpaper","Bombay Ticking pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","bombay-ticking","1","Stripes","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-08-130","08","130",""
"bombay-bombay-ticking","Bombay Ticking","<p>Bombay Ticking pattern from our Bombay collection. Pattern #01-08-130. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-08-130-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-ticking.jpg","","","Bombay Ticking - Bombay Collection | ColorFlex Wallpaper","Bombay Ticking pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","bombay-ticking","1","Stripes","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-08-130","08","130",""
"bombay-bombay-ticking","Bombay Ticking","<p>Bombay Ticking pattern from our Bombay collection. Pattern #01-08-130. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-08-130-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-ticking.jpg","","","Bombay Ticking - Bombay Collection | ColorFlex Wallpaper","Bombay Ticking pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","bombay-ticking","1","Stripes","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-08-130","08","130",""
"bombay-rewa-flower","Rewa Flower","<p>Rewa Flower pattern from our Bombay collection. Pattern #01-08-139. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-139-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/rewa-flower.jpg","1","Rewa Flower pattern thumbnail","Rewa Flower - Bombay Collection | ColorFlex Wallpaper","Rewa Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","rewa-flower","2","Texture,Flowers","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6810 LUPINE","01-08-139","08","139",""
"bombay-rewa-flower","Rewa Flower","<p>Rewa Flower pattern from our Bombay collection. Pattern #01-08-139. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-08-139-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/rewa-flower.jpg","","","Rewa Flower - Bombay Collection | ColorFlex Wallpaper","Rewa Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","rewa-flower","2","Texture,Flowers","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6810 LUPINE","01-08-139","08","139",""
"bombay-rewa-flower","Rewa Flower","<p>Rewa Flower pattern from our Bombay collection. Pattern #01-08-139. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-08-139-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/rewa-flower.jpg","","","Rewa Flower - Bombay Collection | ColorFlex Wallpaper","Rewa Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","rewa-flower","2","Texture,Flowers","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6810 LUPINE","01-08-139","08","139",""
"bombay-delhi-large","Delhi Large","<p>Delhi Large pattern from our Bombay collection. Pattern #01-08-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/delhi-large.jpg","1","Delhi Large pattern thumbnail","Delhi Large - Bombay Collection | ColorFlex Wallpaper","Delhi Large pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","delhi-large","2","Tiny Flower,Floral","24x24","straight","SW6810 LUPINE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-08-104","08","104",""
