"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"botanicals-flowering-fern","Flowering Fern","<p>Flowering Fern pattern from our Botanicals collection. Pattern #01-06-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/flowering-fern.jpg?v=1774383642","1","Flowering Fern pattern thumbnail","Flowering Fern - Botanicals Collection | ColorFlex Wallpaper","Flowering Fern pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","flowering-fern","3","Flowers,Fiddleheads,Ferns","24x24","straight","SC0001 COTTAGE LINEN,SW6242 BRACING BLUE,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA","01-06-101","06","101","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-flowering-fern","Flowering Fern","<p>Flowering Fern pattern from our Botanicals collection. Pattern #01-06-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/flowering-fern.jpg?v=1774383642","","","Flowering Fern - Botanicals Collection | ColorFlex Wallpaper","Flowering Fern pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","flowering-fern","3","Flowers,Fiddleheads,Ferns","24x24","straight","SC0001 COTTAGE LINEN,SW6242 BRACING BLUE,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA","01-06-101","06","101","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-flowering-fern","Flowering Fern","<p>Flowering Fern pattern from our Botanicals collection. Pattern #01-06-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-101-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/flowering-fern.jpg?v=1774383642","","","Flowering Fern - Botanicals Collection | ColorFlex Wallpaper","Flowering Fern pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","flowering-fern","3","Flowers,Fiddleheads,Ferns","24x24","straight","SC0001 COTTAGE LINEN,SW6242 BRACING BLUE,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA","01-06-101","06","101","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-shadow-dance","Shadow Dance","<p>Shadow Dance pattern from our Botanicals collection. Pattern #01-06-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/shadow-dance.jpg?v=1774383644","1","Shadow Dance pattern thumbnail","Shadow Dance - Botanicals Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","shadow-dance","3","Texture,Shadows,Flower","24x24","half-drop","SC0001 COTTAGE LINEN,SW6135 ECRU,SW7069 IRON ORE,SW0043 PERISTYLE BRASS","01-06-103","06","103","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-shadow-dance","Shadow Dance","<p>Shadow Dance pattern from our Botanicals collection. Pattern #01-06-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/shadow-dance.jpg?v=1774383644","","","Shadow Dance - Botanicals Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","shadow-dance","3","Texture,Shadows,Flower","24x24","half-drop","SC0001 COTTAGE LINEN,SW6135 ECRU,SW7069 IRON ORE,SW0043 PERISTYLE BRASS","01-06-103","06","103","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-shadow-dance","Shadow Dance","<p>Shadow Dance pattern from our Botanicals collection. Pattern #01-06-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/shadow-dance.jpg?v=1774383644","","","Shadow Dance - Botanicals Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","shadow-dance","3","Texture,Shadows,Flower","24x24","half-drop","SC0001 COTTAGE LINEN,SW6135 ECRU,SW7069 IRON ORE,SW0043 PERISTYLE BRASS","01-06-103","06","103","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-tall-lilly-plant","Tall Lilly Plant","<p>Tall Lilly Plant pattern from our Botanicals collection. Pattern #01-06-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/tall-lilly-plant.jpg?v=1774383645","1","Tall Lilly Plant pattern thumbnail","Tall Lilly Plant - Botanicals Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SW7069 IRON ORE,SW6239 UPWARD,6423 RYEGRASS,SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-06-104","06","104","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-tall-lilly-plant","Tall Lilly Plant","<p>Tall Lilly Plant pattern from our Botanicals collection. Pattern #01-06-104. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-06-104-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/tall-lilly-plant.jpg?v=1774383645","","","Tall Lilly Plant - Botanicals Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SW7069 IRON ORE,SW6239 UPWARD,6423 RYEGRASS,SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-06-104","06","104","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-tall-lilly-plant","Tall Lilly Plant","<p>Tall Lilly Plant pattern from our Botanicals collection. Pattern #01-06-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-06-104-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/tall-lilly-plant.jpg?v=1774383645","","","Tall Lilly Plant - Botanicals Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SW7069 IRON ORE,SW6239 UPWARD,6423 RYEGRASS,SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-06-104","06","104","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
"botanicals-key-largo","Key Largo","<p>Key Largo pattern from our Botanicals collection. Pattern #01-06-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Botanicals","Home & Garden > Decor","ColorFlex Pattern","botanicals, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-06-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/key-largo.jpg?v=1774383643","1","Key Largo pattern thumbnail","Key Largo - Botanicals Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","botanicals","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SW6216 JASPER,SW6215 ROCKY RIVER,SW6214 UNDERSEAS,SW9133 JASPER STONE,SW6213 HALCYON GREEN,SW6212 QUIETUDE,SW6211 RAINWASHED","01-06-105","06","105","","Botanicals and floral designs dominate many decorating themes.  Timeless in style and flexible in colorways, botanical images can stand alone or be layered without limit in homes of any style or age.  Invite nature into your decorating theme, color them and scale them to your pleasure."
