"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"traditions-majolika","Majolika","<p>Majolika pattern from our Traditions collection. Pattern #01-04-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-04-111-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/majolika.jpg","1","Majolika pattern thumbnail","Majolika - Traditions Collection | ColorFlex Wallpaper","Majolika pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","majolika","5","Background Floral,Outside Medalians,Inside Medalians,Carnations,Outlines","24x24","straight","SW6341 RED CENT,SW9009 SUBDUED SIENNA,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6187 ROSEMARY,SW6209 RIPE OLIVE","01-04-111","04","111",""
"traditions-majolika","Majolika","<p>Majolika pattern from our Traditions collection. Pattern #01-04-111. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-04-111-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/majolika.jpg","","","Majolika - Traditions Collection | ColorFlex Wallpaper","Majolika pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","majolika","5","Background Floral,Outside Medalians,Inside Medalians,Carnations,Outlines","24x24","straight","SW6341 RED CENT,SW9009 SUBDUED SIENNA,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6187 ROSEMARY,SW6209 RIPE OLIVE","01-04-111","04","111",""
"traditions-majolika","Majolika","<p>Majolika pattern from our Traditions collection. Pattern #01-04-111. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-04-111-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/majolika.jpg","","","Majolika - Traditions Collection | ColorFlex Wallpaper","Majolika pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","majolika","5","Background Floral,Outside Medalians,Inside Medalians,Carnations,Outlines","24x24","straight","SW6341 RED CENT,SW9009 SUBDUED SIENNA,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6187 ROSEMARY,SW6209 RIPE OLIVE","01-04-111","04","111",""
"traditions-florencia","Florencia","<p>Florencia pattern from our Traditions collection. Pattern #01-04-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-04-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/florencia.jpg","1","Florencia pattern thumbnail","Florencia - Traditions Collection | ColorFlex Wallpaper","Florencia pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","florencia","3","Texture,Latice Pattern,Flourish","24x32","straight","SC0002 COTTAGE COAL,SW9130 EVERGREEN FOG,SW3174 LENNOX HILL TAN,SW6135 ECRU","01-04-102","04","102",""
"traditions-florencia","Florencia","<p>Florencia pattern from our Traditions collection. Pattern #01-04-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-04-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/florencia.jpg","","","Florencia - Traditions Collection | ColorFlex Wallpaper","Florencia pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","florencia","3","Texture,Latice Pattern,Flourish","24x32","straight","SC0002 COTTAGE COAL,SW9130 EVERGREEN FOG,SW3174 LENNOX HILL TAN,SW6135 ECRU","01-04-102","04","102",""
"traditions-florencia","Florencia","<p>Florencia pattern from our Traditions collection. Pattern #01-04-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-04-102-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/florencia.jpg","","","Florencia - Traditions Collection | ColorFlex Wallpaper","Florencia pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","florencia","3","Texture,Latice Pattern,Flourish","24x32","straight","SC0002 COTTAGE COAL,SW9130 EVERGREEN FOG,SW3174 LENNOX HILL TAN,SW6135 ECRU","01-04-102","04","102",""
"traditions-rosehip","Rosehip","<p>Rosehip pattern from our Traditions collection. Pattern #01-04-110. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-04-110-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/rosehip.jpg","1","Rosehip pattern thumbnail","Rosehip - Traditions Collection | ColorFlex Wallpaper","Rosehip pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","rosehip","4","Wreath,Round Center,Leaves,Heart Flower","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6214 UNDERSEAS,SW3174 LENNOX HILL TAN,SW3174 LENNOX HILL TAN,SW9658 FRESH EUCALYPTUS","01-04-110","04","110",""
"traditions-rosehip","Rosehip","<p>Rosehip pattern from our Traditions collection. Pattern #01-04-110. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-04-110-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/rosehip.jpg","","","Rosehip - Traditions Collection | ColorFlex Wallpaper","Rosehip pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","rosehip","4","Wreath,Round Center,Leaves,Heart Flower","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6214 UNDERSEAS,SW3174 LENNOX HILL TAN,SW3174 LENNOX HILL TAN,SW9658 FRESH EUCALYPTUS","01-04-110","04","110",""
"traditions-rosehip","Rosehip","<p>Rosehip pattern from our Traditions collection. Pattern #01-04-110. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-04-110-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/rosehip.jpg","","","Rosehip - Traditions Collection | ColorFlex Wallpaper","Rosehip pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","rosehip","4","Wreath,Round Center,Leaves,Heart Flower","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6214 UNDERSEAS,SW3174 LENNOX HILL TAN,SW3174 LENNOX HILL TAN,SW9658 FRESH EUCALYPTUS","01-04-110","04","110",""
"traditions-lotus-brocade","Lotus Brocade","<p>Lotus Brocade pattern from our Traditions collection. Pattern #01-04-114. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-04-114-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/lotus-brocade.jpg","1","Lotus Brocade pattern thumbnail","Lotus Brocade - Traditions Collection | ColorFlex Wallpaper","Lotus Brocade pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","lotus-brocade","6","Medalions,Sprig,Fern,Lotus Wreath,Berries,Outline","24x24","straight","SW7069 IRON ORE,SW6394 SEQUIN,SW7699 RUSTIC CITY,SW7699 RUSTIC CITY,SW6398 SCONCE GOLD,SW6306 CORDIAL,SW7740 MESSENGER BAG","01-04-114","04","114",""
