"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"geometry-thalweg","Thalweg","<p>Thalweg pattern from our Geometry collection. Pattern #01-14-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-14-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/thalweg.jpg","1","Thalweg pattern thumbnail","Thalweg - Geometry Collection | ColorFlex Wallpaper","Thalweg pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","thalweg","5","Texture,Shape2,Shape3,Shape4 Layer 4,Shape5","24x24","straight","SW7069 IRON ORE,SW7065 ARGOS,SW6158 SAWDUST,SW7067 CITYSCAPE,SW3441 FOOTHILLS,SW7699 RUSTIC CITY","01-14-101","14","101","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-thalweg","Thalweg","<p>Thalweg pattern from our Geometry collection. Pattern #01-14-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-14-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/thalweg.jpg","","","Thalweg - Geometry Collection | ColorFlex Wallpaper","Thalweg pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","thalweg","5","Texture,Shape2,Shape3,Shape4 Layer 4,Shape5","24x24","straight","SW7069 IRON ORE,SW7065 ARGOS,SW6158 SAWDUST,SW7067 CITYSCAPE,SW3441 FOOTHILLS,SW7699 RUSTIC CITY","01-14-101","14","101","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-thalweg","Thalweg","<p>Thalweg pattern from our Geometry collection. Pattern #01-14-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-14-101-decal","69.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/thalweg.jpg","","","Thalweg - Geometry Collection | ColorFlex Wallpaper","Thalweg pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","thalweg","5","Texture,Shape2,Shape3,Shape4 Layer 4,Shape5","24x24","straight","SW7069 IRON ORE,SW7065 ARGOS,SW6158 SAWDUST,SW7067 CITYSCAPE,SW3441 FOOTHILLS,SW7699 RUSTIC CITY","01-14-101","14","101","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-rapids","Rapids","<p>Rapids pattern from our Geometry collection. Pattern #01-14-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-14-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/rapids.jpg","1","Rapids pattern thumbnail","Rapids - Geometry Collection | ColorFlex Wallpaper","Rapids pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","rapids","8","Center,Lines 1,Lines 2,Lines 3,Lines 4,Lines 5,Lines 6,Lines 7","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7068 GRIZZLE GRAY,SW7067 CITYSCAPE,SW9163 TIN LIZZIE,SW6135 ECRU,SW 3174 LENNOX HILL,SW6158 SAWDUST,SW3441 FOOTHILLS","01-14-102","14","102","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-rapids","Rapids","<p>Rapids pattern from our Geometry collection. Pattern #01-14-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-14-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/rapids.jpg","","","Rapids - Geometry Collection | ColorFlex Wallpaper","Rapids pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","rapids","8","Center,Lines 1,Lines 2,Lines 3,Lines 4,Lines 5,Lines 6,Lines 7","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7068 GRIZZLE GRAY,SW7067 CITYSCAPE,SW9163 TIN LIZZIE,SW6135 ECRU,SW 3174 LENNOX HILL,SW6158 SAWDUST,SW3441 FOOTHILLS","01-14-102","14","102","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-rapids","Rapids","<p>Rapids pattern from our Geometry collection. Pattern #01-14-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-14-102-decal","69.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/rapids.jpg","","","Rapids - Geometry Collection | ColorFlex Wallpaper","Rapids pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","rapids","8","Center,Lines 1,Lines 2,Lines 3,Lines 4,Lines 5,Lines 6,Lines 7","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7068 GRIZZLE GRAY,SW7067 CITYSCAPE,SW9163 TIN LIZZIE,SW6135 ECRU,SW 3174 LENNOX HILL,SW6158 SAWDUST,SW3441 FOOTHILLS","01-14-102","14","102","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-oxbow","Oxbow","<p>Oxbow pattern from our Geometry collection. Pattern #01-14-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-14-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/oxbow.jpg","1","Oxbow pattern thumbnail","Oxbow - Geometry Collection | ColorFlex Wallpaper","Oxbow pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","oxbow","6","Dots 1,Dots 2,Dots 3,Dots 4,Dots 5,Fuzzy Layer","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7068 GRIZZLE GRAY,SW7067 CITYSCAPE,SW9063 TIN LIZZIE,SW6158 SAWDUST,SW6135 ECRU","01-14-103","14","103","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-oxbow","Oxbow","<p>Oxbow pattern from our Geometry collection. Pattern #01-14-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-14-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/oxbow.jpg","","","Oxbow - Geometry Collection | ColorFlex Wallpaper","Oxbow pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","oxbow","6","Dots 1,Dots 2,Dots 3,Dots 4,Dots 5,Fuzzy Layer","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7068 GRIZZLE GRAY,SW7067 CITYSCAPE,SW9063 TIN LIZZIE,SW6158 SAWDUST,SW6135 ECRU","01-14-103","14","103","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-oxbow","Oxbow","<p>Oxbow pattern from our Geometry collection. Pattern #01-14-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-14-103-decal","69.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/oxbow.jpg","","","Oxbow - Geometry Collection | ColorFlex Wallpaper","Oxbow pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","oxbow","6","Dots 1,Dots 2,Dots 3,Dots 4,Dots 5,Fuzzy Layer","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW7068 GRIZZLE GRAY,SW7067 CITYSCAPE,SW9063 TIN LIZZIE,SW6158 SAWDUST,SW6135 ECRU","01-14-103","14","103","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-riparian","Riparian","<p>Riparian pattern from our Geometry collection. Pattern #01-14-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-14-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/riparian.jpg","1","Riparian pattern thumbnail","Riparian - Geometry Collection | ColorFlex Wallpaper","Riparian pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","riparian","5","Vertical Left,Vertical Right,Horizontal Top,Horizontal Bottom,Dots","24x24","straight","SW7069 IRON ORE,SW3441 FOOTHILLS,SC0001 COTTAGE LINEN,SW7067 CITYSCAPE,SW9163 TIN LIZZIE,SW3174 LENNOX HILL","01-14-105","14","105","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
"geometry-riparian","Riparian","<p>Riparian pattern from our Geometry collection. Pattern #01-14-105. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Geometry","Home & Garden > Decor","ColorFlex Pattern","geometry, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-14-105-fabric","79.99","","TRUE","TRUE","","","continue","","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections/geometry/thumbnails/riparian.jpg","","","Riparian - Geometry Collection | ColorFlex Wallpaper","Riparian pattern from our Geometry collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","geometry","riparian","5","Vertical Left,Vertical Right,Horizontal Top,Horizontal Bottom,Dots","24x24","straight","SW7069 IRON ORE,SW3441 FOOTHILLS,SC0001 COTTAGE LINEN,SW7067 CITYSCAPE,SW9163 TIN LIZZIE,SW3174 LENNOX HILL","01-14-105","14","105","","Geometry for the clean, linear look.  Designed to be very simple, try tone on tone for a very minimal effect or bold colors to create your own artwork wall.  Color and scale to your desire."
