"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"farmhouse-farmhouse-ticking-sm-stripes","Farmhouse Ticking Sm Stripes","<p>Farmhouse Ticking Sm Stripes pattern from our Farmhouse collection. Pattern #01-05-124. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-124-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-ticking-sm-stripes.jpg","1","Farmhouse Ticking Sm Stripes pattern thumbnail","Farmhouse Ticking Sm Stripes - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Ticking Sm Stripes pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-ticking-sm-stripes","1","Stripe","24x24","straight","SW6035 ECRU,SW1472 Slate Tile","01-05-124","05","124",""
"farmhouse-farmhouse-ticking-sm-stripes","Farmhouse Ticking Sm Stripes","<p>Farmhouse Ticking Sm Stripes pattern from our Farmhouse collection. Pattern #01-05-124. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-124-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-ticking-sm-stripes.jpg","","","Farmhouse Ticking Sm Stripes - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Ticking Sm Stripes pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-ticking-sm-stripes","1","Stripe","24x24","straight","SW6035 ECRU,SW1472 Slate Tile","01-05-124","05","124",""
"farmhouse-farmhouse-ticking-sm-stripes","Farmhouse Ticking Sm Stripes","<p>Farmhouse Ticking Sm Stripes pattern from our Farmhouse collection. Pattern #01-05-124. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-124-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farmhouse-ticking-sm-stripes.jpg","","","Farmhouse Ticking Sm Stripes - Farmhouse Collection | ColorFlex Wallpaper","Farmhouse Ticking Sm Stripes pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farmhouse-ticking-sm-stripes","1","Stripe","24x24","straight","SW6035 ECRU,SW1472 Slate Tile","01-05-124","05","124",""
"farmhouse-chicken-scratch","Chicken Scratch","<p>Chicken Scratch pattern from our Farmhouse collection. Pattern #01-05-108. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-108-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/chicken-scratch.jpg","1","Chicken Scratch pattern thumbnail","Chicken Scratch - Farmhouse Collection | ColorFlex Wallpaper","Chicken Scratch pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","chicken-scratch","1","Pattern","24x24","straight","SW1472 Slate Tile,SC0001 COTTAGE LINEN","01-05-108","05","108",""
"farmhouse-chicken-scratch","Chicken Scratch","<p>Chicken Scratch pattern from our Farmhouse collection. Pattern #01-05-108. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-108-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/chicken-scratch.jpg","","","Chicken Scratch - Farmhouse Collection | ColorFlex Wallpaper","Chicken Scratch pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","chicken-scratch","1","Pattern","24x24","straight","SW1472 Slate Tile,SC0001 COTTAGE LINEN","01-05-108","05","108",""
"farmhouse-chicken-scratch","Chicken Scratch","<p>Chicken Scratch pattern from our Farmhouse collection. Pattern #01-05-108. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-108-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/chicken-scratch.jpg","","","Chicken Scratch - Farmhouse Collection | ColorFlex Wallpaper","Chicken Scratch pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","chicken-scratch","1","Pattern","24x24","straight","SW1472 Slate Tile,SC0001 COTTAGE LINEN","01-05-108","05","108",""
"farmhouse-on-antique-letters","On Antique Letters","<p>On Antique Letters pattern from our Farmhouse collection. Pattern #01-05-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/on-antique-letters.jpg","1","On Antique Letters pattern thumbnail","On Antique Letters - Farmhouse Collection | ColorFlex Wallpaper","On Antique Letters pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","on-antique-letters","1","On Antique Letters","24x24","straight","SC0001 COTTAGE LINEN,SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red,SW6990 CAVIAR","01-05-106","05","106",""
"farmhouse-on-antique-letters","On Antique Letters","<p>On Antique Letters pattern from our Farmhouse collection. Pattern #01-05-106. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-106-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/on-antique-letters.jpg","","","On Antique Letters - Farmhouse Collection | ColorFlex Wallpaper","On Antique Letters pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","on-antique-letters","1","On Antique Letters","24x24","straight","SC0001 COTTAGE LINEN,SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red,SW6990 CAVIAR","01-05-106","05","106",""
"farmhouse-on-antique-letters","On Antique Letters","<p>On Antique Letters pattern from our Farmhouse collection. Pattern #01-05-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-106-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/on-antique-letters.jpg","","","On Antique Letters - Farmhouse Collection | ColorFlex Wallpaper","On Antique Letters pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","on-antique-letters","1","On Antique Letters","24x24","straight","SC0001 COTTAGE LINEN,SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red,SW6990 CAVIAR","01-05-106","05","106",""
"farmhouse-farm-toile","Farm Toile","<p>Farm Toile pattern from our Farmhouse collection. Pattern #01-05-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/farmhouse/thumbnails/farm-toile.jpg","1","Farm Toile pattern thumbnail","Farm Toile - Farmhouse Collection | ColorFlex Wallpaper","Farm Toile pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","farmhouse","farm-toile","1","Pattern","24x24","half-drop","SW7699 RUSTIC CITY,SW7069 IRON ORE","01-05-101","05","101",""
