"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","custom.base_url","custom.collection","custom.pattern","custom.layer_count","custom.layer_labels","custom.pattern_size","custom.tiling_type","custom.designer_colors","custom.pattern_number","custom.collection_sequence","custom.pattern_sequence","custom.pattern_variant"
"ancient-tiles-harwich-12x12","Harwich 12x12","<p>Harwich 12x12 pattern from our Ancient-tiles collection. Pattern #01-13-114. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-114","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/harwich-12x12.jpg","1","Harwich 12x12 pattern thumbnail","Harwich 12x12 - Ancient-tiles Collection | ColorFlex Wallpaper","Harwich 12x12 pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","harwich-12x12","0","","12x12","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-114","13","114",""
"ancient-tiles-valencia","Valencia","<p>Valencia pattern from our Ancient-tiles collection. Pattern #01-13-112. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-112","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/valencia.jpg","1","Valencia pattern thumbnail","Valencia - Ancient-tiles Collection | ColorFlex Wallpaper","Valencia pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","valencia","0","","8x8","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-112","13","112",""
"ancient-tiles-tripoli","Tripoli","<p>Tripoli pattern from our Ancient-tiles collection. Pattern #01-13-102
. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-102
","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/tripoli.jpg","1","Tripoli pattern thumbnail","Tripoli - Ancient-tiles Collection | ColorFlex Wallpaper","Tripoli pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","tripoli","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-102
","","",""
"ancient-tiles-amsterdam","Amsterdam","<p>Amsterdam pattern from our Ancient-tiles collection. Pattern #01-13-106
. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-106
","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/amsterdam.jpg","1","Amsterdam pattern thumbnail","Amsterdam - Ancient-tiles Collection | ColorFlex Wallpaper","Amsterdam pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","amsterdam","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-106
","","",""
"ancient-tiles-hastings","Hastings","<p>Hastings pattern from our Ancient-tiles collection. Pattern #01-13-104. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-104","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/hastings.jpg","1","Hastings pattern thumbnail","Hastings - Ancient-tiles Collection | ColorFlex Wallpaper","Hastings pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","hastings","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-104","13","104",""
"ancient-tiles-plymouth","Plymouth","<p>Plymouth pattern from our Ancient-tiles collection. Pattern #01-13-103. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-103","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/plymouth.jpg","1","Plymouth pattern thumbnail","Plymouth - Ancient-tiles Collection | ColorFlex Wallpaper","Plymouth pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","plymouth","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-103","13","103",""
"ancient-tiles-algiers","Algiers","<p>Algiers pattern from our Ancient-tiles collection. Pattern #01-13-101. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-101","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/algiers.jpg","1","Algiers pattern thumbnail","Algiers - Ancient-tiles Collection | ColorFlex Wallpaper","Algiers pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","algiers","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-101","13","101",""
"ancient-tiles-corsica","Corsica","<p>Corsica pattern from our Ancient-tiles collection. Pattern #01-13-105. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-105","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/corsica.jpg","1","Corsica pattern thumbnail","Corsica - Ancient-tiles Collection | ColorFlex Wallpaper","Corsica pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","corsica","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-105","13","105",""
"ancient-tiles-izmir","Izmir","<p>Izmir pattern from our Ancient-tiles collection. Pattern #01-13-110. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-110","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/izmir.jpg","1","Izmir pattern thumbnail","Izmir - Ancient-tiles Collection | ColorFlex Wallpaper","Izmir pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","izmir","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-110","13","110",""
"ancient-tiles-tangier","Tangier","<p>Tangier pattern from our Ancient-tiles collection. Pattern #01-13-115. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-13-115","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/tangier.jpg","1","Tangier pattern thumbnail","Tangier - Ancient-tiles Collection | ColorFlex Wallpaper","Tangier pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","tangier","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-115","13","115",""
