"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/keswick_67f90044-e9ab-4ea2-8365-8d318b1257ef.jpg?v=1772068542","1","Keswick pattern thumbnail","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Large Leaves","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/keswick_67f90044-e9ab-4ea2-8365-8d318b1257ef.jpg?v=1772068542","","","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Large Leaves","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-03-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/keswick_67f90044-e9ab-4ea2-8365-8d318b1257ef.jpg?v=1772068542","","","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Large Leaves","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-126. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-126-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/ashbourn.jpg?v=1762696244","1","Ashbourn pattern thumbnail","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-126","03","126",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-126. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-126-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/ashbourn.jpg?v=1762696244","","","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-126","03","126",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-126. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-03-126-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/ashbourn.jpg?v=1762696244","","","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-126","03","126",""
"english-cottage-nottingham","Nottingham","<p>Nottingham pattern from our English-cottage collection. Pattern #01-03-130. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-130-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/nottingham.jpg?v=1764031519","1","Nottingham pattern thumbnail","Nottingham - English-cottage Collection | ColorFlex Wallpaper","Nottingham pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","nottingham","9","Leaves,Grape Clusters,Shields,Shapes,Buds,Star Flowers,Flowers,Bud Sprout,Outline","24x24","straight","SW7548 PORTICO,SW6424 TANSY GREEN,SW9133 JASPER STONE,SW6215 ROCKY RIVER,SW6425 RELENTLESS OLIVE,SW2802 ROOKWOOD RED,SW6395 ALCHEMY,SW9133 JASPER STONE,SW6371 VANILLIN,SW7069 IRON ORE","01-03-130","03","130",""
"english-cottage-nottingham","Nottingham","<p>Nottingham pattern from our English-cottage collection. Pattern #01-03-130. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-130-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/nottingham.jpg?v=1764031519","","","Nottingham - English-cottage Collection | ColorFlex Wallpaper","Nottingham pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","nottingham","9","Leaves,Grape Clusters,Shields,Shapes,Buds,Star Flowers,Flowers,Bud Sprout,Outline","24x24","straight","SW7548 PORTICO,SW6424 TANSY GREEN,SW9133 JASPER STONE,SW6215 ROCKY RIVER,SW6425 RELENTLESS OLIVE,SW2802 ROOKWOOD RED,SW6395 ALCHEMY,SW9133 JASPER STONE,SW6371 VANILLIN,SW7069 IRON ORE","01-03-130","03","130",""
"english-cottage-nottingham","Nottingham","<p>Nottingham pattern from our English-cottage collection. Pattern #01-03-130. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-03-130-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/nottingham.jpg?v=1764031519","","","Nottingham - English-cottage Collection | ColorFlex Wallpaper","Nottingham pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","nottingham","9","Leaves,Grape Clusters,Shields,Shapes,Buds,Star Flowers,Flowers,Bud Sprout,Outline","24x24","straight","SW7548 PORTICO,SW6424 TANSY GREEN,SW9133 JASPER STONE,SW6215 ROCKY RIVER,SW6425 RELENTLESS OLIVE,SW2802 ROOKWOOD RED,SW6395 ALCHEMY,SW9133 JASPER STONE,SW6371 VANILLIN,SW7069 IRON ORE","01-03-130","03","130",""
"english-cottage-chippendale","Chippendale","<p>Chippendale pattern from our English-cottage collection. Pattern #01-03-119. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-119-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/chippendale.jpg?v=1762696245","1","Chippendale pattern thumbnail","Chippendale - English-cottage Collection | ColorFlex Wallpaper","Chippendale pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","chippendale","10","Cradenza,Layer 2,Settee,Chair 1,Chair 2,Chair 3,Vase 1,Vase 2,Vase 3,Tiny Plants","24x24","half-drop","SC0001 COTTAGE LINEN,SW0080 PINK FLAMINGO,SW6610 LUPINE,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW7588 SHOW STOPPER,SW6439 GREENFIELD,SW6558 PLUMMY,SW6558 PLUMMY,SW6395 ALCHEMY,SW6425 RELENTLESS OLIVE","01-03-119","03","119",""
"english-cottage-chippendale","Chippendale","<p>Chippendale pattern from our English-cottage collection. Pattern #01-03-119. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-119-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/chippendale.jpg?v=1762696245","","","Chippendale - English-cottage Collection | ColorFlex Wallpaper","Chippendale pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","english-cottage","chippendale","10","Cradenza,Layer 2,Settee,Chair 1,Chair 2,Chair 3,Vase 1,Vase 2,Vase 3,Tiny Plants","24x24","half-drop","SC0001 COTTAGE LINEN,SW0080 PINK FLAMINGO,SW6610 LUPINE,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW7588 SHOW STOPPER,SW6439 GREENFIELD,SW6558 PLUMMY,SW6558 PLUMMY,SW6395 ALCHEMY,SW6425 RELENTLESS OLIVE","01-03-119","03","119",""
