"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"cottage-sketch-book-rosalind","Rosalind","<p>Rosalind pattern from our Cottage-sketch-book collection. Pattern #01-11-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-11-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/rosalind.jpg","1","Rosalind pattern thumbnail","Rosalind - Cottage-sketch-book Collection | ColorFlex Wallpaper","Rosalind pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","rosalind","4","Stripes,Tiny Flowers,Lace,Flower Vine","24x24","straight","SW6807 WONDROUS BLUE,SW6810 LUPINE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-11-105","11","105",""
"cottage-sketch-book-rosalind","Rosalind","<p>Rosalind pattern from our Cottage-sketch-book collection. Pattern #01-11-105. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-11-105-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/rosalind.jpg","","","Rosalind - Cottage-sketch-book Collection | ColorFlex Wallpaper","Rosalind pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","rosalind","4","Stripes,Tiny Flowers,Lace,Flower Vine","24x24","straight","SW6807 WONDROUS BLUE,SW6810 LUPINE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-11-105","11","105",""
"cottage-sketch-book-rosalind","Rosalind","<p>Rosalind pattern from our Cottage-sketch-book collection. Pattern #01-11-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-11-105-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/rosalind.jpg","","","Rosalind - Cottage-sketch-book Collection | ColorFlex Wallpaper","Rosalind pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","rosalind","4","Stripes,Tiny Flowers,Lace,Flower Vine","24x24","straight","SW6807 WONDROUS BLUE,SW6810 LUPINE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-11-105","11","105",""
"cottage-sketch-book-adelaide","Adelaide","<p>Adelaide pattern from our Cottage-sketch-book collection. Pattern #01-11-107. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-11-107-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/adelaide.jpg","1","Adelaide pattern thumbnail","Adelaide - Cottage-sketch-book Collection | ColorFlex Wallpaper","Adelaide pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","adelaide","3","Stripes,Ragged Stripes,Vines","24x24","straight","SW9658 FRESH EUCALYPTUS,SW9133 JASPER STONE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-11-107","11","107",""
"cottage-sketch-book-adelaide","Adelaide","<p>Adelaide pattern from our Cottage-sketch-book collection. Pattern #01-11-107. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-11-107-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/adelaide.jpg","","","Adelaide - Cottage-sketch-book Collection | ColorFlex Wallpaper","Adelaide pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","adelaide","3","Stripes,Ragged Stripes,Vines","24x24","straight","SW9658 FRESH EUCALYPTUS,SW9133 JASPER STONE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-11-107","11","107",""
"cottage-sketch-book-adelaide","Adelaide","<p>Adelaide pattern from our Cottage-sketch-book collection. Pattern #01-11-107. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-11-107-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/adelaide.jpg","","","Adelaide - Cottage-sketch-book Collection | ColorFlex Wallpaper","Adelaide pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","adelaide","3","Stripes,Ragged Stripes,Vines","24x24","straight","SW9658 FRESH EUCALYPTUS,SW9133 JASPER STONE,SC0001 COTTAGE LINEN,SC0001 COTTAGE LINEN","01-11-107","11","107",""
"cottage-sketch-book-beatrix","Beatrix","<p>Beatrix pattern from our Cottage-sketch-book collection. Pattern #01-11-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-11-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/beatrix.jpg","1","Beatrix pattern thumbnail","Beatrix - Cottage-sketch-book Collection | ColorFlex Wallpaper","Beatrix pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","beatrix","4","Stripes,Flower Baskets,Wreaths,Ribbons","24x24","straight","SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SC0001 COTTAGE LINEN","01-11-106","11","106",""
"cottage-sketch-book-beatrix","Beatrix","<p>Beatrix pattern from our Cottage-sketch-book collection. Pattern #01-11-106. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-11-106-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/beatrix.jpg","","","Beatrix - Cottage-sketch-book Collection | ColorFlex Wallpaper","Beatrix pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","beatrix","4","Stripes,Flower Baskets,Wreaths,Ribbons","24x24","straight","SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SC0001 COTTAGE LINEN","01-11-106","11","106",""
"cottage-sketch-book-beatrix","Beatrix","<p>Beatrix pattern from our Cottage-sketch-book collection. Pattern #01-11-106. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-11-106-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/beatrix.jpg","","","Beatrix - Cottage-sketch-book Collection | ColorFlex Wallpaper","Beatrix pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","beatrix","4","Stripes,Flower Baskets,Wreaths,Ribbons","24x24","straight","SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SC0001 COTTAGE LINEN","01-11-106","11","106",""
"cottage-sketch-book-aurora","Aurora","<p>Aurora pattern from our Cottage-sketch-book collection. Pattern #01-11-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cottage-sketch-book, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-11-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/cottage-sketch-book/thumbnails/aurora.jpg","1","Aurora pattern thumbnail","Aurora - Cottage-sketch-book Collection | ColorFlex Wallpaper","Aurora pattern from our Cottage-sketch-book collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","cottage-sketch-book","aurora","7","Lg Flowers,Droopy Flowers,Upward Flowers,Flower Center,Leaves,Tiny Flowers,Outline","24x24","straight","SW6393 CONVIVIAL YELLOW,SC0001 COTTAGE LINEN,SW6395 ALCHEMY,SW6318 RESOUNDING ROSE,SW6395 ALCHEMY,SW7726 LEMON VERBENA,SW9075 BERRY CREAM,SC002 COTTAGE COAL","01-11-103","11","103",""
