"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"cabin-fever-billings","Billings","<p>Billings pattern from our Cabin-fever collection. Pattern #16-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","16-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/billings.jpg?v=1772066746","1","Billings pattern thumbnail","Billings - Cabin-fever Collection | ColorFlex Wallpaper","Billings pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","billings","2","Texture,Pinecones","24x24","half-drop","SC0001 COTTAGE LINEN,SW0042 RUSKIN ROOM GREEN,SW6159 HIGH TEA","16-102","","",""
"cabin-fever-billings","Billings","<p>Billings pattern from our Cabin-fever collection. Pattern #16-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","16-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/billings.jpg?v=1772066746","","","Billings - Cabin-fever Collection | ColorFlex Wallpaper","Billings pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","billings","2","Texture,Pinecones","24x24","half-drop","SC0001 COTTAGE LINEN,SW0042 RUSKIN ROOM GREEN,SW6159 HIGH TEA","16-102","","",""
"cabin-fever-billings","Billings","<p>Billings pattern from our Cabin-fever collection. Pattern #16-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","16-102-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/billings.jpg?v=1772066746","","","Billings - Cabin-fever Collection | ColorFlex Wallpaper","Billings pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","billings","2","Texture,Pinecones","24x24","half-drop","SC0001 COTTAGE LINEN,SW0042 RUSKIN ROOM GREEN,SW6159 HIGH TEA","16-102","","",""
"cabin-fever-oak-medalion","Oak Medalion","<p>Oak Medalion pattern from our Cabin-fever collection. Pattern #16-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","16-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/oak-medalion.jpg?v=1772066747","1","Oak Medalion pattern thumbnail","Oak Medalion - Cabin-fever Collection | ColorFlex Wallpaper","Oak Medalion pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","oak-medalion","2","Texture,Pattern","24x24","straight","SW6159 HIGH TEA,SW6076 TURKISH COFFEE,SW0053 PORCELAIN","16-104","","",""
"cabin-fever-oak-medalion","Oak Medalion","<p>Oak Medalion pattern from our Cabin-fever collection. Pattern #16-104. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","16-104-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/oak-medalion.jpg?v=1772066747","","","Oak Medalion - Cabin-fever Collection | ColorFlex Wallpaper","Oak Medalion pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","oak-medalion","2","Texture,Pattern","24x24","straight","SW6159 HIGH TEA,SW6076 TURKISH COFFEE,SW0053 PORCELAIN","16-104","","",""
"cabin-fever-oak-medalion","Oak Medalion","<p>Oak Medalion pattern from our Cabin-fever collection. Pattern #16-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","16-104-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/oak-medalion.jpg?v=1772066747","","","Oak Medalion - Cabin-fever Collection | ColorFlex Wallpaper","Oak Medalion pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","oak-medalion","2","Texture,Pattern","24x24","straight","SW6159 HIGH TEA,SW6076 TURKISH COFFEE,SW0053 PORCELAIN","16-104","","",""
"cabin-fever-winter-boughs","Winter Boughs","<p>Winter Boughs pattern from our Cabin-fever collection. Pattern #16-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","16-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/winter-boughs.jpg?v=1772066749","1","Winter Boughs pattern thumbnail","Winter Boughs - Cabin-fever Collection | ColorFlex Wallpaper","Winter Boughs pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","winter-boughs","2","Birch Texture,Layer 2","24x24","straight","SC0001 COTTAGE LINEN,SW7065 ARGOS,SW6159 HIGH TEA","16-105","","",""
"cabin-fever-winter-boughs","Winter Boughs","<p>Winter Boughs pattern from our Cabin-fever collection. Pattern #16-105. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","16-105-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/winter-boughs.jpg?v=1772066749","","","Winter Boughs - Cabin-fever Collection | ColorFlex Wallpaper","Winter Boughs pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","winter-boughs","2","Birch Texture,Layer 2","24x24","straight","SC0001 COTTAGE LINEN,SW7065 ARGOS,SW6159 HIGH TEA","16-105","","",""
"cabin-fever-winter-boughs","Winter Boughs","<p>Winter Boughs pattern from our Cabin-fever collection. Pattern #16-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","16-105-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/winter-boughs.jpg?v=1772066749","","","Winter Boughs - Cabin-fever Collection | ColorFlex Wallpaper","Winter Boughs pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","winter-boughs","2","Birch Texture,Layer 2","24x24","straight","SC0001 COTTAGE LINEN,SW7065 ARGOS,SW6159 HIGH TEA","16-105","","",""
"cabin-fever-forest-floor","Forest Floor","<p>Forest Floor pattern from our Cabin-fever collection. Pattern #16-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","cabin-fever, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","16-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/forest-floor.jpg?v=1772066750","1","Forest Floor pattern thumbnail","Forest Floor - Cabin-fever Collection | ColorFlex Wallpaper","Forest Floor pattern from our Cabin-fever collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","cabin-fever","forest-floor","3","Texture,Inside Leaves,Leaves Outline","24x24","half-drop","SW7040 SMOKEHOUSE,SW6076 TURKISH COFFEE,SW6371 VANILLIN,SW0043 PERISTYLE BRASS","16-103","","",""
