"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"oceana-salmon","Salmon","<p>Salmon pattern from our Oceana collection. Pattern #01-12-105A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-12-105A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/salmon.jpg","1","Salmon pattern thumbnail","Salmon - Oceana Collection | ColorFlex Wallpaper","Salmon pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","salmon","0","","24x36","half-drop","","01-12-105A","12","105","A"
"oceana-salmon","Salmon","<p>Salmon pattern from our Oceana collection. Pattern #01-12-105A. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-12-105A-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/salmon.jpg","","","Salmon - Oceana Collection | ColorFlex Wallpaper","Salmon pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","salmon","0","","24x36","half-drop","","01-12-105A","12","105","A"
"oceana-salmon","Salmon","<p>Salmon pattern from our Oceana collection. Pattern #01-12-105A. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-12-105A-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/salmon.jpg","","","Salmon - Oceana Collection | ColorFlex Wallpaper","Salmon pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","salmon","0","","24x36","half-drop","","01-12-105A","12","105","A"
"oceana-large","Large","<p>Large pattern from our Oceana collection. Pattern #01-12-101A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-12-101A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/large.jpg","1","Large pattern thumbnail","Large - Oceana Collection | ColorFlex Wallpaper","Large pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","large","0","","24x36","half-drop","","01-12-101A","12","101","A"
"oceana-large","Large","<p>Large pattern from our Oceana collection. Pattern #01-12-101A. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-12-101A-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/large.jpg","","","Large - Oceana Collection | ColorFlex Wallpaper","Large pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","large","0","","24x36","half-drop","","01-12-101A","12","101","A"
"oceana-large","Large","<p>Large pattern from our Oceana collection. Pattern #01-12-101A. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-12-101A-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/large.jpg","","","Large - Oceana Collection | ColorFlex Wallpaper","Large pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","large","0","","24x36","half-drop","","01-12-101A","12","101","A"
"oceana-spa","Spa","<p>Spa pattern from our Oceana collection. Pattern #01-12-106A. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-12-106A-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/spa.jpg","1","Spa pattern thumbnail","Spa - Oceana Collection | ColorFlex Wallpaper","Spa pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","spa","0","","24x36","half-drop","","01-12-106A","12","106","A"
"oceana-spa","Spa","<p>Spa pattern from our Oceana collection. Pattern #01-12-106A. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-12-106A-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/spa.jpg","","","Spa - Oceana Collection | ColorFlex Wallpaper","Spa pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","spa","0","","24x36","half-drop","","01-12-106A","12","106","A"
"oceana-spa","Spa","<p>Spa pattern from our Oceana collection. Pattern #01-12-106A. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-12-106A-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/spa.jpg","","","Spa - Oceana Collection | ColorFlex Wallpaper","Spa pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","spa","0","","24x36","half-drop","","01-12-106A","12","106","A"
"oceana-haeckel-in-yellow","Haeckel In Yellow","<p>Haeckel In Yellow pattern from our Oceana collection. Pattern #01-12-120. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","oceana, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-12-120-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/oceana/thumbnails/haeckel-in-yellow.jpg","1","Haeckel In Yellow pattern thumbnail","Haeckel In Yellow - Oceana Collection | ColorFlex Wallpaper","Haeckel In Yellow pattern from our Oceana collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","oceana","haeckel-in-yellow","0","","24x24","half-drop","","01-12-120","12","120",""
