"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","custom.base_url","custom.collection","custom.pattern","custom.layer_count","custom.layer_labels","custom.pattern_size","custom.tiling_type","custom.designer_colors","custom.pattern_number","custom.collection_sequence","custom.pattern_sequence","custom.pattern_variant"
"english-cottage-hastings","Hastings","<p>Hastings pattern from our English-cottage collection. Pattern #01-03-118. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-118","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/hastings.jpg","1","Hastings pattern thumbnail","Hastings - English-cottage Collection | ColorFlex Wallpaper","Hastings pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","hastings","1","Layer 1","24x24","straight","SC0001 COTTAGE LINEN,SW0032 NEEDLEPOINT NAVY","01-03-118","03","118",""
"english-cottage-cottswold","Cottswold","<p>Cottswold pattern from our English-cottage collection. Pattern #01-03-122. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-122","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/cottswold.jpg","1","Cottswold pattern thumbnail","Cottswold - English-cottage Collection | ColorFlex Wallpaper","Cottswold pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","cottswold","1","Layer 1","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-03-122","03","122",""
"traditions-majolika","Majolika","<p>Majolika pattern from our Traditions collection. Pattern #01-04-111. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-04-111","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/majolika.jpg","1","Majolika pattern thumbnail","Majolika - Traditions Collection | ColorFlex Wallpaper","Majolika pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","majolika","5","Layer 1,Layer 2,Layer 3,Layer 4,Layer 5","24x24","straight","SW6341 RED CENT,SW9009 SUBDUED SIENNA,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6187 ROSEMARY,SW6209 RIPE OLIVE","01-04-111","04","111",""
"traditions-rosehip","Rosehip","<p>Rosehip pattern from our Traditions collection. Pattern #01-04-110. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-04-110","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/rosehip.jpg","1","Rosehip pattern thumbnail","Rosehip - Traditions Collection | ColorFlex Wallpaper","Rosehip pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","rosehip","4","Layer 1,Layer 2,Layer 3,Layer 4","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6214 UNDERSEAS,SW3174 LENNOX HILL TAN,SW3174 LENNOX HILL TAN,SW9658 FRESH EUCALYPTUS","01-04-110","04","110",""
"traditions-majolika-large","Majolika Large","<p>Majolika Large pattern from our Traditions collection. Pattern #01-04-112. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-04-112","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/majolika-large.jpg","1","Majolika Large pattern thumbnail","Majolika Large - Traditions Collection | ColorFlex Wallpaper","Majolika Large pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","majolika-large","5","Layer 1,Layer 2,Layer 3,Layer 4,Layer 5","24x24","straight","SW9150 ENDLESS SEA,SW9148 SMOKY AZURITE,SW9148 SMOKY AZURITE,SW9145 SLEEPY HOLLOW,SC0001 COTTAGE LINEN,SW9685 AFTER THE STORM","01-04-112","04","112",""
"traditions-majolika-floral","Majolika Floral","<p>Majolika Floral pattern from our Traditions collection. Pattern #01-04-113. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-04-113","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/majolika-floral.jpg","1","Majolika Floral pattern thumbnail","Majolika Floral - Traditions Collection | ColorFlex Wallpaper","Majolika Floral pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","majolika-floral","1","Layer 1","24x24","straight","SW6341 RED CENT,SW9009 SUBDUED SIENNA","01-04-113","04","113",""
"traditions-arcadia","Arcadia","<p>Arcadia pattern from our Traditions collection. Pattern #01-04-109. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-04-109","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/arcadia.jpg","1","Arcadia pattern thumbnail","Arcadia - Traditions Collection | ColorFlex Wallpaper","Arcadia pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","arcadia","2","Layer 1,Layer 2","24x30","half-drop","SW9130 EVERGREEN FOG,SC0001 COTTAGE LINEN,SW6204 SEA SALT","01-04-109","04","109",""
"traditions-cloverdale","Cloverdale","<p>Cloverdale pattern from our Traditions collection. Pattern #01-04-108. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","traditions, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-04-108","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/traditions/thumbnails/cloverdale.jpg","1","Cloverdale pattern thumbnail","Cloverdale - Traditions Collection | ColorFlex Wallpaper","Cloverdale pattern from our Traditions collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","traditions","cloverdale","5","Layer 1,Layer 2,Layer 3,Layer 4,Layer 5","24x24","straight","SW7069 IRON ORE,SW7728 LEMON VERBENA,SW6158 SAWDUST,SW0043 PERISTYLE BRASS,SW7698 STRAW HARVEST,SW7698 STRAW HARVEST","01-04-108","04","108",""
"bombay-bombay-ticking","Bombay Ticking","<p>Bombay Ticking pattern from our Bombay collection. Pattern #01-08-130. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-08-130","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-ticking.jpg","1","Bombay Ticking pattern thumbnail","Bombay Ticking - Bombay Collection | ColorFlex Wallpaper","Bombay Ticking pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","bombay-ticking","1","Layer 1","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-08-130","08","130",""
"bombay-bombay-trellis","Bombay Trellis","<p>Bombay Trellis pattern from our Bombay collection. Pattern #01-08-125. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-08-125","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/bombay/thumbnails/bombay-trellis.jpg","1","Bombay Trellis pattern thumbnail","Bombay Trellis - Bombay Collection | ColorFlex Wallpaper","Bombay Trellis pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","bombay","bombay-trellis","2","Layer 1,Layer 2","24x24","straight","SC0001 COTTAGE LINEN,SW6425 RELENTLESS OLIVE,SW6395 ALCHEMY","01-08-125","08","125",""
