"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","custom.base_url","custom.collection","custom.pattern","custom.layer_count","custom.layer_labels","custom.pattern_size","custom.tiling_type","custom.designer_colors","custom.pattern_number","custom.collection_sequence","custom.pattern_sequence","custom.pattern_variant"
"abundance-bluebirds-on-ice","Bluebirds On Ice","<p>Bluebirds On Ice pattern from our Abundance collection. Pattern #01-01-102B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-102B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/bluebirds-on-ice.jpg","1","Bluebirds On Ice pattern thumbnail","Bluebirds On Ice - Abundance Collection | ColorFlex Wallpaper","Bluebirds On Ice pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","bluebirds-on-ice","0","","24x36","half-drop","","01-01-102B","01","102","B"
"abundance-pink-tulip-on-shell","Pink Tulip On Shell","<p>Pink Tulip On Shell pattern from our Abundance collection. Pattern #01-01-104B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-104B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/pink-tulip-on-shell.jpg","1","Pink Tulip On Shell pattern thumbnail","Pink Tulip On Shell - Abundance Collection | ColorFlex Wallpaper","Pink Tulip On Shell pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","pink-tulip-on-shell","0","","24x36","half-drop","","01-01-104B","01","104","B"
"abundance-white-doves-on-tobacco","White Doves On Tobacco","<p>White Doves On Tobacco pattern from our Abundance collection. Pattern #01-01-109B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-109B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/white-doves-on-tobacco.jpg","1","White Doves On Tobacco pattern thumbnail","White Doves On Tobacco - Abundance Collection | ColorFlex Wallpaper","White Doves On Tobacco pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","white-doves-on-tobacco","0","","24x36","half-drop","","01-01-109B","01","109","B"
"abundance-pink-tulip","Pink Tulip","<p>Pink Tulip pattern from our Abundance collection. Pattern #01-01-104A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-104A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/pink-tulip.jpg","1","Pink Tulip pattern thumbnail","Pink Tulip - Abundance Collection | ColorFlex Wallpaper","Pink Tulip pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","pink-tulip","0","","24x36","half-drop","","01-01-104A","01","104","A"
"abundance-cornflower-blue","Cornflower Blue","<p>Cornflower Blue pattern from our Abundance collection. Pattern #01-01-103. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-103","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/cornflower-blue.jpg","1","Cornflower Blue pattern thumbnail","Cornflower Blue - Abundance Collection | ColorFlex Wallpaper","Cornflower Blue pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","cornflower-blue","0","","24x36","half-drop","","01-01-103","01","103",""
"abundance-purple-passion-on-lavender","Purple Passion On Lavender","<p>Purple Passion On Lavender pattern from our Abundance collection. Pattern #01-01-113B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-113B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/purple-passion-on-lavender.jpg","1","Purple Passion On Lavender pattern thumbnail","Purple Passion On Lavender - Abundance Collection | ColorFlex Wallpaper","Purple Passion On Lavender pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","purple-passion-on-lavender","0","","24x36","straight","","01-01-113B","01","113","B"
"abundance-white-tulips-on-black","White Tulips On Black","<p>White Tulips On Black pattern from our Abundance collection. Pattern #01-01-107. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-107","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/white-tulips-on-black.jpg","1","White Tulips On Black pattern thumbnail","White Tulips On Black - Abundance Collection | ColorFlex Wallpaper","White Tulips On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","white-tulips-on-black","0","","24x36","straight","","01-01-107","01","107",""
"abundance-stag-spruce","Stag & Spruce","<p>Stag & Spruce pattern from our Abundance collection. Pattern #01-01-117. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-117","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/stag-&-spruce.jpg","1","Stag & Spruce pattern thumbnail","Stag & Spruce - Abundance Collection | ColorFlex Wallpaper","Stag & Spruce pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","stag-&-spruce","0","","24x36","half-drop","","01-01-117","01","117",""
"abundance-birdcage-on-black","Birdcage On Black","<p>Birdcage On Black pattern from our Abundance collection. Pattern #01-01-101A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-101A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/birdcage-on-black.jpg","1","Birdcage On Black pattern thumbnail","Birdcage On Black - Abundance Collection | ColorFlex Wallpaper","Birdcage On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","birdcage-on-black","0","","24x36","half-drop","","01-01-101A","01","101","A"
"abundance-royal-cranes-on-black","Royal Cranes On Black","<p>Royal Cranes On Black pattern from our Abundance collection. Pattern #01-01-116A. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-116A","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/royal-cranes-on-black.jpg","1","Royal Cranes On Black pattern thumbnail","Royal Cranes On Black - Abundance Collection | ColorFlex Wallpaper","Royal Cranes On Black pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","royal-cranes-on-black","0","","24x36","half-drop","","01-01-116A","01","116","A"
"abundance-tall-greys-on-grey","Tall Greys On Grey","<p>Tall Greys On Grey pattern from our Abundance collection. Pattern #01-01-110B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-110B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/tall-greys-on-grey.jpg","1","Tall Greys On Grey pattern thumbnail","Tall Greys On Grey - Abundance Collection | ColorFlex Wallpaper","Tall Greys On Grey pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","tall-greys-on-grey","0","","24x36","half-drop","","01-01-110B","01","110","B"
"abundance-birdcage-on-ivory","Birdcage On Ivory","<p>Birdcage On Ivory pattern from our Abundance collection. Pattern #01-01-101D. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-101D","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/birdcage-on-ivory.jpg","1","Birdcage On Ivory pattern thumbnail","Birdcage On Ivory - Abundance Collection | ColorFlex Wallpaper","Birdcage On Ivory pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","birdcage-on-ivory","0","","24x36","half-drop","","01-01-101D","01","101","D"
"abundance-spruce-birds","Spruce Birds","<p>Spruce Birds pattern from our Abundance collection. Pattern #01-01-115. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-115","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/spruce-birds.jpg","1","Spruce Birds pattern thumbnail","Spruce Birds - Abundance Collection | ColorFlex Wallpaper","Spruce Birds pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","spruce-birds","0","","224x36","half-drop","","01-01-115","01","115",""
"abundance-birdcage-on-golden","Birdcage On Golden","<p>Birdcage On Golden pattern from our Abundance collection. Pattern #01-01-101B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-101B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/birdcage-on-golden.jpg","1","Birdcage On Golden pattern thumbnail","Birdcage On Golden - Abundance Collection | ColorFlex Wallpaper","Birdcage On Golden pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","birdcage-on-golden","0","","24x36","half-drop","","01-01-101B","01","101","B"
"abundance-white-tulips-on-cream","White Tulips On Cream","<p>White Tulips On Cream pattern from our Abundance collection. Pattern #01-01-108. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-108","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/white-tulips-on-cream.jpg","1","White Tulips On Cream pattern thumbnail","White Tulips On Cream - Abundance Collection | ColorFlex Wallpaper","White Tulips On Cream pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","white-tulips-on-cream","0","","24x36","straight","","01-01-108","01","108",""
"abundance-owls-oak-leaves","Owls & Oak Leaves","<p>Owls & Oak Leaves pattern from our Abundance collection. Pattern #01-01-111. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-111","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/owls-&-oak-leaves.jpg","1","Owls & Oak Leaves pattern thumbnail","Owls & Oak Leaves - Abundance Collection | ColorFlex Wallpaper","Owls & Oak Leaves pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","owls-&-oak-leaves","0","","24x36","half-drop","","01-01-111","01","111",""
