"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"dished-up-purple","Purple","<p>Purple pattern from our Dished-up collection. Pattern #01-07-106. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-07-106-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/purple.jpg","1","Purple pattern thumbnail","Purple - Dished-up Collection | ColorFlex Wallpaper","Purple pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","purple","0","","24x24","half-drop","COLOR FIXED","01-07-106","07","106",""
"dished-up-purple","Purple","<p>Purple pattern from our Dished-up collection. Pattern #01-07-106. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-07-106-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/purple.jpg","","","Purple - Dished-up Collection | ColorFlex Wallpaper","Purple pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","purple","0","","24x24","half-drop","COLOR FIXED","01-07-106","07","106",""
"dished-up-purple","Purple","<p>Purple pattern from our Dished-up collection. Pattern #01-07-106. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-07-106-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/purple.jpg","","","Purple - Dished-up Collection | ColorFlex Wallpaper","Purple pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","purple","0","","24x24","half-drop","COLOR FIXED","01-07-106","07","106",""
"dished-up-black","Black","<p>Black pattern from our Dished-up collection. Pattern #01-07-108. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-07-108-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/black.jpg","1","Black pattern thumbnail","Black - Dished-up Collection | ColorFlex Wallpaper","Black pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","black","0","","24x24","half-drop","COLOR FIXED","01-07-108","07","108",""
"dished-up-black","Black","<p>Black pattern from our Dished-up collection. Pattern #01-07-108. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-07-108-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/black.jpg","","","Black - Dished-up Collection | ColorFlex Wallpaper","Black pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","black","0","","24x24","half-drop","COLOR FIXED","01-07-108","07","108",""
"dished-up-black","Black","<p>Black pattern from our Dished-up collection. Pattern #01-07-108. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-07-108-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/black.jpg","","","Black - Dished-up Collection | ColorFlex Wallpaper","Black pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","black","0","","24x24","half-drop","COLOR FIXED","01-07-108","07","108",""
"dished-up-sepia-castles","Sepia Castles","<p>Sepia Castles pattern from our Dished-up collection. Pattern #01-07-109. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-07-109-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/sepia-castles.jpg","1","Sepia Castles pattern thumbnail","Sepia Castles - Dished-up Collection | ColorFlex Wallpaper","Sepia Castles pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","sepia-castles","0","","24x24","half-drop","COLOR FIXED","01-07-109","07","109",""
"dished-up-sepia-castles","Sepia Castles","<p>Sepia Castles pattern from our Dished-up collection. Pattern #01-07-109. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-07-109-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/sepia-castles.jpg","","","Sepia Castles - Dished-up Collection | ColorFlex Wallpaper","Sepia Castles pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","sepia-castles","0","","24x24","half-drop","COLOR FIXED","01-07-109","07","109",""
"dished-up-sepia-castles","Sepia Castles","<p>Sepia Castles pattern from our Dished-up collection. Pattern #01-07-109. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-07-109-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/sepia-castles.jpg","","","Sepia Castles - Dished-up Collection | ColorFlex Wallpaper","Sepia Castles pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","sepia-castles","0","","24x24","half-drop","COLOR FIXED","01-07-109","07","109",""
"dished-up-alphabets","Alphabets","<p>Alphabets pattern from our Dished-up collection. Pattern #01-07-104

. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","dished-up, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-07-104

-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/dished-up/thumbnails/alphabets.jpg","1","Alphabets pattern thumbnail","Alphabets - Dished-up Collection | ColorFlex Wallpaper","Alphabets pattern from our Dished-up collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","dished-up","alphabets","0","","24x24","half-drop","COLOR FIXED","01-07-104

","","",""
