"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"bombay-diamond-harbour","Diamond Harbour","<p>Diamond Harbour pattern from our Bombay collection. Pattern #01-08-100. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-100-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/diamond-harbour.jpg?v=1773283797","1","Diamond Harbour pattern thumbnail","Diamond Harbour - Bombay Collection | ColorFlex Wallpaper","Diamond Harbour pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","diamond-harbour","4","Layer 1,Heart,Outside Vine,Sprig","24x24","straight","SC0001 COTTAGE LINEN,SW6425 RELENTLESS OLIVE,SW6558 PLUMMY,SW6395 ALCHEMY,SW6395 ALCHEMY","01-08-100","08","100","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-diamond-harbour","Diamond Harbour","<p>Diamond Harbour pattern from our Bombay collection. Pattern #01-08-100. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-08-100-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/diamond-harbour.jpg?v=1773283797","","","Diamond Harbour - Bombay Collection | ColorFlex Wallpaper","Diamond Harbour pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","diamond-harbour","4","Layer 1,Heart,Outside Vine,Sprig","24x24","straight","SC0001 COTTAGE LINEN,SW6425 RELENTLESS OLIVE,SW6558 PLUMMY,SW6395 ALCHEMY,SW6395 ALCHEMY","01-08-100","08","100","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-diamond-harbour","Diamond Harbour","<p>Diamond Harbour pattern from our Bombay collection. Pattern #01-08-100. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-08-100-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/diamond-harbour.jpg?v=1773283797","","","Diamond Harbour - Bombay Collection | ColorFlex Wallpaper","Diamond Harbour pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","diamond-harbour","4","Layer 1,Heart,Outside Vine,Sprig","24x24","straight","SC0001 COTTAGE LINEN,SW6425 RELENTLESS OLIVE,SW6558 PLUMMY,SW6395 ALCHEMY,SW6395 ALCHEMY","01-08-100","08","100","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-andheri-star-flower","Andheri Star Flower","<p>Andheri Star Flower pattern from our Bombay collection. Pattern #01-08-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/andheri-star-flower_6401ea7b-ef89-4c91-9799-5404a6bcd999.jpg?v=1774376554","1","Andheri Star Flower pattern thumbnail","Andheri Star Flower - Bombay Collection | ColorFlex Wallpaper","Andheri Star Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","andheri-star-flower","1","Star Flower","24x24","straight","SW6395 ALCHEMY,SC0001 COTTAGE LINEN","01-08-101","08","101","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-andheri-star-flower","Andheri Star Flower","<p>Andheri Star Flower pattern from our Bombay collection. Pattern #01-08-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-08-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/andheri-star-flower_6401ea7b-ef89-4c91-9799-5404a6bcd999.jpg?v=1774376554","","","Andheri Star Flower - Bombay Collection | ColorFlex Wallpaper","Andheri Star Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","andheri-star-flower","1","Star Flower","24x24","straight","SW6395 ALCHEMY,SC0001 COTTAGE LINEN","01-08-101","08","101","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-andheri-star-flower","Andheri Star Flower","<p>Andheri Star Flower pattern from our Bombay collection. Pattern #01-08-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-08-101-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/andheri-star-flower_6401ea7b-ef89-4c91-9799-5404a6bcd999.jpg?v=1774376554","","","Andheri Star Flower - Bombay Collection | ColorFlex Wallpaper","Andheri Star Flower pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","andheri-star-flower","1","Star Flower","24x24","straight","SW6395 ALCHEMY,SC0001 COTTAGE LINEN","01-08-101","08","101","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-bombay-tiles","Bombay Tiles","<p>Bombay Tiles pattern from our Bombay collection. Pattern #01-08-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bombay-tiles.jpg?v=1773283802","1","Bombay Tiles pattern thumbnail","Bombay Tiles - Bombay Collection | ColorFlex Wallpaper","Bombay Tiles pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","bombay-tiles","6","Large Arch,Outter Leaves,Middle Leaves,Inner Leaves,Leaf Pettals,Center Leaf","24x24","straight","SC0001 COTTAGE LINEN,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW6810 LUPINE,SW6810 LUPINE,SW6395 ALCHEMY,SW6395 ALCHEMY","01-08-102","08","102","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-bombay-tiles","Bombay Tiles","<p>Bombay Tiles pattern from our Bombay collection. Pattern #01-08-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-08-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bombay-tiles.jpg?v=1773283802","","","Bombay Tiles - Bombay Collection | ColorFlex Wallpaper","Bombay Tiles pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","bombay-tiles","6","Large Arch,Outter Leaves,Middle Leaves,Inner Leaves,Leaf Pettals,Center Leaf","24x24","straight","SC0001 COTTAGE LINEN,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW6810 LUPINE,SW6810 LUPINE,SW6395 ALCHEMY,SW6395 ALCHEMY","01-08-102","08","102","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-bombay-tiles","Bombay Tiles","<p>Bombay Tiles pattern from our Bombay collection. Pattern #01-08-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-08-102-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/bombay-tiles.jpg?v=1773283802","","","Bombay Tiles - Bombay Collection | ColorFlex Wallpaper","Bombay Tiles pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","bombay-tiles","6","Large Arch,Outter Leaves,Middle Leaves,Inner Leaves,Leaf Pettals,Center Leaf","24x24","straight","SC0001 COTTAGE LINEN,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW6810 LUPINE,SW6810 LUPINE,SW6395 ALCHEMY,SW6395 ALCHEMY","01-08-102","08","102","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
"bombay-chakapara","Chakapara","<p>Chakapara pattern from our Bombay collection. Pattern #01-08-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Bombay","Home & Garden > Decor","ColorFlex Pattern","bombay, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-08-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/chakapara.jpg?v=1773283803","1","Chakapara pattern thumbnail","Chakapara - Bombay Collection | ColorFlex Wallpaper","Chakapara pattern from our Bombay collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","bombay","chakapara","1","Layer 1","24x24","straight","SW6811 HONORABLE BLUE,SC0001 COTTAGE LINEN","01-08-103","08","103","","Our BOMBAY COLLECTION is inspired by the ancient art of block printed fabrics from India.  
Shown here in traditional colorways and designed to mix and match with endless combinations, these timeless designs can add a cozy, cottage feel to any decorating scheme.  Experiment with your favorite colors and resize the images for various looks."
