"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"farmhouse-farm-toile","Farm Toile","<p>Farm Toile pattern from our Farmhouse collection. Pattern #01-05-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/farm-toile.jpg?v=1773255033","1","Farm Toile pattern thumbnail","Farm Toile - Farmhouse Collection | ColorFlex Wallpaper","Farm Toile pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","farm-toile","1","Pattern","24x24","half-drop","SW7699 RUSTIC CITY,SW7069 IRON ORE","01-05-101","05","101","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-farm-toile","Farm Toile","<p>Farm Toile pattern from our Farmhouse collection. Pattern #01-05-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/farm-toile.jpg?v=1773255033","","","Farm Toile - Farmhouse Collection | ColorFlex Wallpaper","Farm Toile pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","farm-toile","1","Pattern","24x24","half-drop","SW7699 RUSTIC CITY,SW7069 IRON ORE","01-05-101","05","101","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-farm-toile","Farm Toile","<p>Farm Toile pattern from our Farmhouse collection. Pattern #01-05-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-101-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/farm-toile.jpg?v=1773255033","","","Farm Toile - Farmhouse Collection | ColorFlex Wallpaper","Farm Toile pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","farm-toile","1","Pattern","24x24","half-drop","SW7699 RUSTIC CITY,SW7069 IRON ORE","01-05-101","05","101","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-root-vegetables","Root Vegetables","<p>Root Vegetables pattern from our Farmhouse collection. Pattern #01-05-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/root-vegetables.jpg?v=1773255034","1","Root Vegetables pattern thumbnail","Root Vegetables - Farmhouse Collection | ColorFlex Wallpaper","Root Vegetables pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","root-vegetables","1","Pattern","24x24","half-drop","SW6035 ECRU,SW7069 IRON ORE","01-05-102","05","102","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-root-vegetables","Root Vegetables","<p>Root Vegetables pattern from our Farmhouse collection. Pattern #01-05-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/root-vegetables.jpg?v=1773255034","","","Root Vegetables - Farmhouse Collection | ColorFlex Wallpaper","Root Vegetables pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","root-vegetables","1","Pattern","24x24","half-drop","SW6035 ECRU,SW7069 IRON ORE","01-05-102","05","102","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-root-vegetables","Root Vegetables","<p>Root Vegetables pattern from our Farmhouse collection. Pattern #01-05-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-102-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/root-vegetables.jpg?v=1773255034","","","Root Vegetables - Farmhouse Collection | ColorFlex Wallpaper","Root Vegetables pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","root-vegetables","1","Pattern","24x24","half-drop","SW6035 ECRU,SW7069 IRON ORE","01-05-102","05","102","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-root-vegetables-paper-scraps","Root Vegetables Paper Scraps","<p>Root Vegetables Paper Scraps pattern from our Farmhouse collection. Pattern #01-05-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/root-vegetables-paper-scraps.jpg?v=1773255036","1","Root Vegetables Paper Scraps pattern thumbnail","Root Vegetables Paper Scraps - Farmhouse Collection | ColorFlex Wallpaper","Root Vegetables Paper Scraps pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","root-vegetables-paper-scraps","3","Shadows,Layer 2,Veggies 1","24x24","half-drop","SW3441 FOOTHILLS,SW7069 IRON ORE,SC0001 COTTAGE LINEN,SW3441 FOOTHILLS","01-05-103","05","103","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-root-vegetables-paper-scraps","Root Vegetables Paper Scraps","<p>Root Vegetables Paper Scraps pattern from our Farmhouse collection. Pattern #01-05-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/root-vegetables-paper-scraps.jpg?v=1773255036","","","Root Vegetables Paper Scraps - Farmhouse Collection | ColorFlex Wallpaper","Root Vegetables Paper Scraps pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","root-vegetables-paper-scraps","3","Shadows,Layer 2,Veggies 1","24x24","half-drop","SW3441 FOOTHILLS,SW7069 IRON ORE,SC0001 COTTAGE LINEN,SW3441 FOOTHILLS","01-05-103","05","103","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-root-vegetables-paper-scraps","Root Vegetables Paper Scraps","<p>Root Vegetables Paper Scraps pattern from our Farmhouse collection. Pattern #01-05-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/root-vegetables-paper-scraps.jpg?v=1773255036","","","Root Vegetables Paper Scraps - Farmhouse Collection | ColorFlex Wallpaper","Root Vegetables Paper Scraps pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","root-vegetables-paper-scraps","3","Shadows,Layer 2,Veggies 1","24x24","half-drop","SW3441 FOOTHILLS,SW7069 IRON ORE,SC0001 COTTAGE LINEN,SW3441 FOOTHILLS","01-05-103","05","103","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-chicken-farmers","Chicken Farmers","<p>Chicken Farmers pattern from our Farmhouse collection. Pattern #01-05-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/chicken-farmers.jpg?v=1773255037","1","Chicken Farmers pattern thumbnail","Chicken Farmers - Farmhouse Collection | ColorFlex Wallpaper","Chicken Farmers pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","chicken-farmers","1","Pattern","24x24","half-drop","SC0001 COTTAGE LINEN,SW7699 RUSTIC CITY","01-05-104","05","104","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-chicken-farmers","Chicken Farmers","<p>Chicken Farmers pattern from our Farmhouse collection. Pattern #01-05-104. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-05-104-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/chicken-farmers.jpg?v=1773255037","","","Chicken Farmers - Farmhouse Collection | ColorFlex Wallpaper","Chicken Farmers pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","chicken-farmers","1","Pattern","24x24","half-drop","SC0001 COTTAGE LINEN,SW7699 RUSTIC CITY","01-05-104","05","104","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-chicken-farmers","Chicken Farmers","<p>Chicken Farmers pattern from our Farmhouse collection. Pattern #01-05-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-05-104-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/chicken-farmers.jpg?v=1773255037","","","Chicken Farmers - Farmhouse Collection | ColorFlex Wallpaper","Chicken Farmers pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","chicken-farmers","1","Pattern","24x24","half-drop","SC0001 COTTAGE LINEN,SW7699 RUSTIC CITY","01-05-104","05","104","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
"farmhouse-a-little-birdie-told-me","A Little Birdie Told Me","<p>A Little Birdie Told Me pattern from our Farmhouse collection. Pattern #01-05-105. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Farmhouse","Home & Garden > Decor","ColorFlex Pattern","farmhouse, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-05-105-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/a-little-birdie-told-me.jpg?v=1773255039","1","A Little Birdie Told Me pattern thumbnail","A Little Birdie Told Me - Farmhouse Collection | ColorFlex Wallpaper","A Little Birdie Told Me pattern from our Farmhouse collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","farmhouse","a-little-birdie-told-me","1","Pattern","24x24","straight","SW7069 IRON ORE,SC0001 COTTAGE LINEN","01-05-105","05","105","","Our FARMHOUSE COLLECTION is inspired by the Rural Lifestyle.  Rockers on the front porch, vegetable gardens in the back yard, chickens running around and homes filled with generations of treasures.
Welcome the country farmhouse style into your decorating theme and color and scale them to your pleasure."
