"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","Metafields: custom.base_url [url]","Metafields: custom.collection [single_line_text_field]","Metafields: custom.pattern [single_line_text_field]","Metafields: custom.layer_count [number_integer]","Metafields: custom.layer_labels [single_line_text_field]","Metafields: custom.pattern_size [single_line_text_field]","Metafields: custom.tiling_type [single_line_text_field]","Metafields: custom.designer_colors [single_line_text_field]","Metafields: custom.pattern_number [single_line_text_field]","Metafields: custom.collection_sequence [single_line_text_field]","Metafields: custom.pattern_sequence [single_line_text_field]","Metafields: custom.pattern_variant [single_line_text_field]"
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-103","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/keswick.jpg","1","Keswick pattern thumbnail","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Unnamed Layer","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-107. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-107","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/ashbourn.jpg","1","Ashbourn pattern thumbnail","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-107","03","107",""
"english-cottage-chippendale","Chippendale","<p>Chippendale pattern from our English-cottage collection. Pattern #01-03-119. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-119","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/chippendale.jpg","1","Chippendale pattern thumbnail","Chippendale - English-cottage Collection | ColorFlex Wallpaper","Chippendale pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","chippendale","10","Color Separated,Color Separated,Color Separated,Color Separated,Color Separated,Color Separated,Color Separated,Color Separated,Color Separated,Color Separated","24x24","half-drop","SC0001 COTTAGE LINEN,SW0080 PINK FLAMINGO,SW6610 LUPINE,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW7588 SHOW STOPPER,SW6439 GREENFIELD,SW6558 PLUMMY,SW6558 PLUMMY,SW6395 ALCHEMY,SW6425 RELENTLESS OLIVE","01-03-119","03","119",""
"english-cottage-canterbury","Canterbury","<p>Canterbury pattern from our English-cottage collection. Pattern #01-03-116. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-116","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/canterbury.jpg","1","Canterbury pattern thumbnail","Canterbury - English-cottage Collection | ColorFlex Wallpaper","Canterbury pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","canterbury","4","24x20 Frame Design,24x20 Fine Line,24x20 Leaves,24x20 Pinecone","24x20","straight","SW7069 IRON ORE,SW6214 UNDERSEAS,SW6158 SAWDUST,SW7726 LEMON VERBENA,SW0043 PERISTYLE BRASS","01-03-116","03","116",""
"english-cottage-lyme-regis","Lyme Regis","<p>Lyme Regis pattern from our English-cottage collection. Pattern #01-03-110. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-110","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/lyme-regis.jpg","1","Lyme Regis pattern thumbnail","Lyme Regis - English-cottage Collection | ColorFlex Wallpaper","Lyme Regis pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","lyme-regis","9","Center Flourish,Design,Vines,Cone Flower,Pineapple,Pomegranates,Pineapple Top,Large Flower,Center Vine","24x30","straight","SW6990 CAVIAR,SW7726 LEMON VERBENA,SW7697 SAFARI,SW7729 EDAMAME,SW0034 ROYCROFT ROSE,SW7697 SAFARI,SW0033 REMBRANDT RUBY,SW0043 PERISTYLE BRASS,SW6242 BRACING BLUE,SW0043 PERISTYLE BRASS","01-03-110","03","110",""
"english-cottage-dartmouth","Dartmouth","<p>Dartmouth pattern from our English-cottage collection. Pattern #01-03-109. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-109","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/dartmouth.jpg","1","Dartmouth pattern thumbnail","Dartmouth - English-cottage Collection | ColorFlex Wallpaper","Dartmouth pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","dartmouth","3","Leaves,Thistle,Shields","24x24","straight","SC0001 COTTAGE LINEN,SW0032 NEEDLEPOINT NAVY,SW6242 BRACING BLUE,SW0037 MORRIS ROOM GREY","01-03-109","03","109",""
"english-cottage-cheltenham","Cheltenham","<p>Cheltenham pattern from our English-cottage collection. Pattern #01-03-113. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-113","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/cheltenham.jpg","1","Cheltenham pattern thumbnail","Cheltenham - English-cottage Collection | ColorFlex Wallpaper","Cheltenham pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","cheltenham","2","Figures,Foliage","24x36","straight","SW0002 COTTAGE COAL,SW0043 PERISTYLE BRASS,SW7726 LEMON VERBENA","01-03-113","03","113",""
"english-cottage-northwich","Northwich","<p>Northwich pattern from our English-cottage collection. Pattern #01-03-118. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-118","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/northwich.jpg","1","Northwich pattern thumbnail","Northwich - English-cottage Collection | ColorFlex Wallpaper","Northwich pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","northwich","1","24x24","24x24","straight","SC0001 COTTAGE LINEN,SW0032 NEEDLEPOINT NAVY","01-03-118","03","118",""
"english-cottage-maidstone","Maidstone","<p>Maidstone pattern from our English-cottage collection. Pattern #01-03-105. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-105","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/maidstone.jpg","1","Maidstone pattern thumbnail","Maidstone - English-cottage Collection | ColorFlex Wallpaper","Maidstone pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","maidstone","2","Tiny Flowers,Bouquets","24x24","straight","SC0001 COTTAGE LINEN,SW0033 REMBRANDT RUBY,SW0034 ROYCROFT ROSE","01-03-105","03","105",""
"english-cottage-yarmouth","Yarmouth","<p>Yarmouth pattern from our English-cottage collection. Pattern #01-03-108. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-108","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/yarmouth.jpg","1","Yarmouth pattern thumbnail","Yarmouth - English-cottage Collection | ColorFlex Wallpaper","Yarmouth pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","yarmouth","5","Leaves,Stems,Shields,Flowers,Centers","24x24","straight","SW6990 CAVIAR,SW6214 UNDERSEAS,SW0043 PERISTYLE BRASS,SW0043 PERISTYLE BRASS,SW6212 QUIETUDE,SC0001 COTTAGE LINEN","01-03-108","03","108",""
"english-cottage-chelmsford","Chelmsford","<p>Chelmsford pattern from our English-cottage collection. Pattern #01-03-117. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-117","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/chelmsford.jpg","1","Chelmsford pattern thumbnail","Chelmsford - English-cottage Collection | ColorFlex Wallpaper","Chelmsford pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","chelmsford","2","24x24 Corners,24x24 Center","24x24","straight","SC0001 COTTAGE LINEN,SW9658 FRESH EUCALYPTUS,SW6214 UNDERSEAS","01-03-117","03","117",""
"english-cottage-daisey-in-the-middle","Daisey In The Middle","<p>Daisey In The Middle pattern from our English-cottage collection. Pattern #01-03-101. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-101","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/daisey-in-the-middle.jpg","1","Daisey In The Middle pattern thumbnail","Daisey In The Middle - English-cottage Collection | ColorFlex Wallpaper","Daisey In The Middle pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","daisey-in-the-middle","2","Unnamed Layer,Unnamed Layer","24x18","straight","SC0001 COTTAGE LINEN,SW3441 FOOTHILLS,SW6214 UNDERSEAS","01-03-101","03","101",""
"english-cottage-baythorn","Baythorn","<p>Baythorn pattern from our English-cottage collection. Pattern #01-03-120. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-120","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/baythorn.jpg","1","Baythorn pattern thumbnail","Baythorn - English-cottage Collection | ColorFlex Wallpaper","Baythorn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","baythorn","1","Unnamed Layer","24x24","straight","SC0001 COTTAGE LINEN,SW6395 ALCHEMY","01-03-120","03","120",""
"english-cottage-newton","Newton","<p>Newton pattern from our English-cottage collection. Pattern #01-03-111. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-111","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/newton.jpg","1","Newton pattern thumbnail","Newton - English-cottage Collection | ColorFlex Wallpaper","Newton pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","newton","5","24x30,24x30,24x30,24x30,24x30","24x30","straight","SC0001 COTTAGE LINEN,SW0037 MORRIS ROOM GREY,SW0032 NEEDLEPOINT NAVY,SW0032 NEEDLEPOINT NAVY,SW0032 NEEDLEPOINT NAVY,SW0032 NEEDLEPOINT NAVY","01-03-111","03","111",""
"english-cottage-chester","Chester","<p>Chester pattern from our English-cottage collection. Pattern #01-03-123. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-123","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/chester.jpg","1","Chester pattern thumbnail","Chester - English-cottage Collection | ColorFlex Wallpaper","Chester pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","chester","2","24x24,24x24","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6214 UNDERSEAS,SW0043 PERISTYLE BRASS","01-03-123","03","123",""
"english-cottage-aye-lassie","Aye Lassie","<p>Aye Lassie pattern from our English-cottage collection. Pattern #01-03-121. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-121","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/aye-lassie.jpg","1","Aye Lassie pattern thumbnail","Aye Lassie - English-cottage Collection | ColorFlex Wallpaper","Aye Lassie pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","aye-lassie","4","24x24 Piper,24x24 Leaves,24x24 Outline,24x24 Thistle","24x24","straight","SW0050 CLASSIC LIGHT BUFF,SW6395 ALCHEMY,SW7726 LEMON VERBENA,SW6209 RIPE OLIVE,SW6395 ALCHEMY","01-03-121","03","121",""
"english-cottage-penzance","Penzance","<p>Penzance pattern from our English-cottage collection. Pattern #01-03-102. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-102","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/penzance.jpg","1","Penzance pattern thumbnail","Penzance - English-cottage Collection | ColorFlex Wallpaper","Penzance pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","penzance","2","Tudor Rose,Heart Leaf","24x24","straight","SW6159 HIGH TEA,SW7697 SAFARI,SW0052 PEARL GRAY","01-03-102","03","102",""
"english-cottage-avesbury","Avesbury","<p>Avesbury pattern from our English-cottage collection. Pattern #01-03-106. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-106","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/avesbury.jpg","1","Avesbury pattern thumbnail","Avesbury - English-cottage Collection | ColorFlex Wallpaper","Avesbury pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","avesbury","2","Lattice Pattern,Center Designs","24x24","straight","SC0001 COTTAGE LINEN,SW6242 BRACING BLUE,SW0032 NEEDLEPOINT NAVY","01-03-106","03","106",""
"english-cottage-crowborough","Crowborough","<p>Crowborough pattern from our English-cottage collection. Pattern #01-03-114. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Pattern","01-03-114","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/crowborough.jpg","1","Crowborough pattern thumbnail","Crowborough - English-cottage Collection | ColorFlex Wallpaper","Crowborough pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","crowborough","5","Daisies,Small Flowers,Berries,Leaves,Crows","24x18","straight","SW7069 IRON ORE,SW7697 SAFARI,SW6242 BRACING BLUE,SW0033 REMBRANDT RUBY,SW7726 LEMON VERBENA,SC0002 COTTAGE COAL","01-03-114","03","114",""
"abundance-tall-greys-small","Tall Greys Small","<p>Tall Greys Small pattern from our Abundance collection. Pattern #01-01-110B. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","abundance, pattern, wallpaper, fabric, standard","TRUE","Application","Pattern","01-01-110B","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/abundance/thumbnails/tall-greys-small.jpg","1","Tall Greys Small pattern thumbnail","Tall Greys Small - Abundance Collection | ColorFlex Wallpaper","Tall Greys Small pattern from our Abundance collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","abundance","tall-greys-small","0","","24x36","half-drop","SW7069 Iron Ore,SW6395 ALCHEMY,SW6439 GREENFIELD,SW6810 LUPINE,SW6811 HONORABLE BLUE,SW0080 PINK FLAMINGO,SW6558 PLUMMY,SW6425 RELENTLESS OLIVE,SW7588 SHOW STOPPER,SW7067 CITYSCAPE","01-01-110B","01","110","B"
