"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"ancient-tiles-harwich-12x12","Harwich 12x12","<p>Harwich 12x12 pattern from our Ancient-tiles collection. Pattern #01-13-114. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-13-114-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/harwich-12x12.jpg","1","Harwich 12x12 pattern thumbnail","Harwich 12x12 - Ancient-tiles Collection | ColorFlex Wallpaper","Harwich 12x12 pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","harwich-12x12","0","","12x12","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-114","13","114",""
"ancient-tiles-harwich-12x12","Harwich 12x12","<p>Harwich 12x12 pattern from our Ancient-tiles collection. Pattern #01-13-114. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-13-114-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/harwich-12x12.jpg","","","Harwich 12x12 - Ancient-tiles Collection | ColorFlex Wallpaper","Harwich 12x12 pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","harwich-12x12","0","","12x12","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-114","13","114",""
"ancient-tiles-harwich-12x12","Harwich 12x12","<p>Harwich 12x12 pattern from our Ancient-tiles collection. Pattern #01-13-114. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-13-114-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/harwich-12x12.jpg","","","Harwich 12x12 - Ancient-tiles Collection | ColorFlex Wallpaper","Harwich 12x12 pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","harwich-12x12","0","","12x12","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-114","13","114",""
"ancient-tiles-valencia","Valencia","<p>Valencia pattern from our Ancient-tiles collection. Pattern #01-13-112. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-13-112-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/valencia.jpg","1","Valencia pattern thumbnail","Valencia - Ancient-tiles Collection | ColorFlex Wallpaper","Valencia pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","valencia","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-112","13","112",""
"ancient-tiles-valencia","Valencia","<p>Valencia pattern from our Ancient-tiles collection. Pattern #01-13-112. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-13-112-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/valencia.jpg","","","Valencia - Ancient-tiles Collection | ColorFlex Wallpaper","Valencia pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","valencia","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-112","13","112",""
"ancient-tiles-valencia","Valencia","<p>Valencia pattern from our Ancient-tiles collection. Pattern #01-13-112. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-13-112-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/valencia.jpg","","","Valencia - Ancient-tiles Collection | ColorFlex Wallpaper","Valencia pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","valencia","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-112","13","112",""
"ancient-tiles-tripoli","Tripoli","<p>Tripoli pattern from our Ancient-tiles collection. Pattern #01-13-102
. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-13-102
-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/tripoli.jpg","1","Tripoli pattern thumbnail","Tripoli - Ancient-tiles Collection | ColorFlex Wallpaper","Tripoli pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","tripoli","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-102
","","",""
"ancient-tiles-tripoli","Tripoli","<p>Tripoli pattern from our Ancient-tiles collection. Pattern #01-13-102
. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-13-102
-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/tripoli.jpg","","","Tripoli - Ancient-tiles Collection | ColorFlex Wallpaper","Tripoli pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","tripoli","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-102
","","",""
"ancient-tiles-tripoli","Tripoli","<p>Tripoli pattern from our Ancient-tiles collection. Pattern #01-13-102
. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-13-102
-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/tripoli.jpg","","","Tripoli - Ancient-tiles Collection | ColorFlex Wallpaper","Tripoli pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","tripoli","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-102
","","",""
"ancient-tiles-amsterdam","Amsterdam","<p>Amsterdam pattern from our Ancient-tiles collection. Pattern #01-13-106
. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","ancient-tiles, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-13-106
-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/ancient-tiles/thumbnails/amsterdam.jpg","1","Amsterdam pattern thumbnail","Amsterdam - Ancient-tiles Collection | ColorFlex Wallpaper","Amsterdam pattern from our Ancient-tiles collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","ancient-tiles","amsterdam","0","","24x24","straight","SW7069 Iron Ore,SW7067 Cityscape,SW3441 Foothills,SW6135 Ecru,SW7699 Rustic City,SW6206 Oyster Bay,SW6186 Dried Thyme,SW1472 Slate Tile,SW0006 Toile Red","01-13-106
","","",""
