"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant","product.metafields.color_flex.collection_description"
"silk-road-constantinople","Constantinople","<p>Constantinople pattern from our Silk Road collection. Pattern #01-15-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-15-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/constantinople.jpg?v=1772127509","1","Constantinople pattern thumbnail","Constantinople - Silk Road Collection | ColorFlex Wallpaper","Constantinople pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","constantinople","4","Leaves,Globes,Flowers,Ribbon","24x32","straight","SW6990 CAVIAR,SW7726 LEMON VERBENA,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW6243 DISTANCE","01-15-101","15","101","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-constantinople","Constantinople","<p>Constantinople pattern from our Silk Road collection. Pattern #01-15-101. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-15-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/constantinople.jpg?v=1772127509","","","Constantinople - Silk Road Collection | ColorFlex Wallpaper","Constantinople pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","constantinople","4","Leaves,Globes,Flowers,Ribbon","24x32","straight","SW6990 CAVIAR,SW7726 LEMON VERBENA,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW6243 DISTANCE","01-15-101","15","101","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-constantinople","Constantinople","<p>Constantinople pattern from our Silk Road collection. Pattern #01-15-101. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-15-101-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/constantinople.jpg?v=1772127509","","","Constantinople - Silk Road Collection | ColorFlex Wallpaper","Constantinople pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","constantinople","4","Leaves,Globes,Flowers,Ribbon","24x32","straight","SW6990 CAVIAR,SW7726 LEMON VERBENA,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW6243 DISTANCE","01-15-101","15","101","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-palmyra","Palmyra","<p>Palmyra pattern from our Silk Road collection. Pattern #01-15-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-15-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/palmyra.jpg?v=1772127499","1","Palmyra pattern thumbnail","Palmyra - Silk Road Collection | ColorFlex Wallpaper","Palmyra pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","palmyra","5","Leaves,Stems,Tassels,Pods,Seeds","24x20","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6394 SEQUIN,SW6214 UNDERSEAS,SW6212 QUIETUDE","01-15-102","15","102","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-palmyra","Palmyra","<p>Palmyra pattern from our Silk Road collection. Pattern #01-15-102. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-15-102-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/palmyra.jpg?v=1772127499","","","Palmyra - Silk Road Collection | ColorFlex Wallpaper","Palmyra pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","palmyra","5","Leaves,Stems,Tassels,Pods,Seeds","24x20","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6394 SEQUIN,SW6214 UNDERSEAS,SW6212 QUIETUDE","01-15-102","15","102","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-palmyra","Palmyra","<p>Palmyra pattern from our Silk Road collection. Pattern #01-15-102. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-15-102-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/palmyra.jpg?v=1772127499","","","Palmyra - Silk Road Collection | ColorFlex Wallpaper","Palmyra pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","palmyra","5","Leaves,Stems,Tassels,Pods,Seeds","24x20","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW6394 SEQUIN,SW6214 UNDERSEAS,SW6212 QUIETUDE","01-15-102","15","102","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-kathmandu","Kathmandu","<p>Kathmandu pattern from our Silk Road collection. Pattern #01-15-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-15-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/kathmandu.jpg?v=1772127508","1","Kathmandu pattern thumbnail","Kathmandu - Silk Road Collection | ColorFlex Wallpaper","Kathmandu pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","kathmandu","6","Center Leaves,Center,Heart Leaves,Small Leaves,Stalk,Stems","24x24","straight","SW6990 CAVIAR,SW7729 EDAMAME,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW7726 LEMON VERBENA,SW0033 REMBRANDT RUBY,SW0043 PERISTYLE BRASS","01-15-103","15","103","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-kathmandu","Kathmandu","<p>Kathmandu pattern from our Silk Road collection. Pattern #01-15-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-15-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/kathmandu.jpg?v=1772127508","","","Kathmandu - Silk Road Collection | ColorFlex Wallpaper","Kathmandu pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","kathmandu","6","Center Leaves,Center,Heart Leaves,Small Leaves,Stalk,Stems","24x24","straight","SW6990 CAVIAR,SW7729 EDAMAME,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW7726 LEMON VERBENA,SW0033 REMBRANDT RUBY,SW0043 PERISTYLE BRASS","01-15-103","15","103","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-kathmandu","Kathmandu","<p>Kathmandu pattern from our Silk Road collection. Pattern #01-15-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-15-103-decal","69.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/kathmandu.jpg?v=1772127508","","","Kathmandu - Silk Road Collection | ColorFlex Wallpaper","Kathmandu pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","kathmandu","6","Center Leaves,Center,Heart Leaves,Small Leaves,Stalk,Stems","24x24","straight","SW6990 CAVIAR,SW7729 EDAMAME,SW0043 PERISTYLE BRASS,SW6394 SEQUIN,SW7726 LEMON VERBENA,SW0033 REMBRANDT RUBY,SW0043 PERISTYLE BRASS","01-15-103","15","103","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
"silk-road-izmir","Izmir","<p>Izmir pattern from our Silk Road collection. Pattern #01-15-104. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Silk Road","Home & Garden > Decor","ColorFlex Pattern","silk-road, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-15-104-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://cdn.shopify.com/s/files/1/0685/6664/7015/files/izmir.jpg?v=1772127513","1","Izmir pattern thumbnail","Izmir - Silk Road Collection | ColorFlex Wallpaper","Izmir pattern from our Silk Road collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://s3.us-east-005.backblazeb2.com/cf-data/data/collections","silk-road","izmir","6","Berries,Flowers,Fruit,Leaves,Lower Medalian,Top Medalian","24x32","straight","SW6990 CAVIAR,SW0033 REMBRANDT RUBY,SW0034 ROYCROFT ROSE,SW6394 SEQUIN,SW7726 LEMON VERBENA,SW6214 UNDERSEAS,SW0043 PERISTYLE BRASS","01-15-104","15","104","","Travel back in time with the SILK ROAD COLLECTION of Traditional DAMASK patterns.  For thousands of years, these beautiful patterns adorned fabrics from Asia to Europe and were coveted for their beautiful and designs.  Now, for the first time, they can be colored and scaled to suite your style.  Have fun!!"
