"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"galleria-raining-cats-and-dogs","Raining Cats And Dogs","<p>Raining Cats And Dogs pattern from our Galleria collection. Pattern #01-10-109. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-10-109-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/raining-cats-and-dogs.jpg","1","Raining Cats And Dogs pattern thumbnail","Raining Cats And Dogs - Galleria Collection | ColorFlex Wallpaper","Raining Cats And Dogs pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","raining-cats-and-dogs","0","","24x24","half-drop","","01-10-109","10","109",""
"galleria-raining-cats-and-dogs","Raining Cats And Dogs","<p>Raining Cats And Dogs pattern from our Galleria collection. Pattern #01-10-109. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-10-109-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/raining-cats-and-dogs.jpg","","","Raining Cats And Dogs - Galleria Collection | ColorFlex Wallpaper","Raining Cats And Dogs pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","raining-cats-and-dogs","0","","24x24","half-drop","","01-10-109","10","109",""
"galleria-raining-cats-and-dogs","Raining Cats And Dogs","<p>Raining Cats And Dogs pattern from our Galleria collection. Pattern #01-10-109. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-10-109-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/raining-cats-and-dogs.jpg","","","Raining Cats And Dogs - Galleria Collection | ColorFlex Wallpaper","Raining Cats And Dogs pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","raining-cats-and-dogs","0","","24x24","half-drop","","01-10-109","10","109",""
"galleria-the-blues","The Blues","<p>The Blues pattern from our Galleria collection. Pattern #01-10-101. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-10-101-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/the-blues.jpg","1","The Blues pattern thumbnail","The Blues - Galleria Collection | ColorFlex Wallpaper","The Blues pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","the-blues","0","","24x24","half-drop","","01-10-101","10","101",""
"galleria-the-blues","The Blues","<p>The Blues pattern from our Galleria collection. Pattern #01-10-101. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-10-101-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/the-blues.jpg","","","The Blues - Galleria Collection | ColorFlex Wallpaper","The Blues pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","the-blues","0","","24x24","half-drop","","01-10-101","10","101",""
"galleria-the-blues","The Blues","<p>The Blues pattern from our Galleria collection. Pattern #01-10-101. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-10-101-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/the-blues.jpg","","","The Blues - Galleria Collection | ColorFlex Wallpaper","The Blues pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","the-blues","0","","24x24","half-drop","","01-10-101","10","101",""
"galleria-equesterian","Equesterian","<p>Equesterian pattern from our Galleria collection. Pattern #01-10-110. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-10-110-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/equesterian.jpg","1","Equesterian pattern thumbnail","Equesterian - Galleria Collection | ColorFlex Wallpaper","Equesterian pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","equesterian","0","","24x24","half-drop","","01-10-110","10","110",""
"galleria-equesterian","Equesterian","<p>Equesterian pattern from our Galleria collection. Pattern #01-10-110. Classic design available in standard colorways. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Fabric","01-10-110-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/equesterian.jpg","","","Equesterian - Galleria Collection | ColorFlex Wallpaper","Equesterian pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","equesterian","0","","24x24","half-drop","","01-10-110","10","110",""
"galleria-equesterian","Equesterian","<p>Equesterian pattern from our Galleria collection. Pattern #01-10-110. Classic design available in standard colorways. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Removable Decal","01-10-110-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/equesterian.jpg","","","Equesterian - Galleria Collection | ColorFlex Wallpaper","Equesterian pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","equesterian","0","","24x24","half-drop","","01-10-110","10","110",""
"galleria-white-florals","White Florals","<p>White Florals pattern from our Galleria collection. Pattern #01-10-102. Classic design available in standard colorways. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","Standard Pattern","galleria, pattern, wallpaper, fabric, standard","TRUE","Application","Wallpaper","01-10-102-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/galleria/thumbnails/white-florals.jpg","1","White Florals pattern thumbnail","White Florals - Galleria Collection | ColorFlex Wallpaper","White Florals pattern from our Galleria collection. Classic design available in standard colorways. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","galleria","white-florals","0","","24x24","half-drop","","01-10-102","10","102",""
