"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"botanicals-clo1-dutch-stripe","Dutch Stripe (Clothing)","<p>Dutch Stripe pattern from our Botanicals Clothing collection. Pattern #01-25-001. Customize colors to match your vision perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Wallpaper","01-25-001-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/dutch-stripe.jpg","1","Dutch Stripe pattern thumbnail","Dutch Stripe - Botanicals Clothing Collection | ColorFlex Wallpaper","Dutch Stripe pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","dutch-stripe","3","Stripe Bg,Leaf Stripe,Tulips","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-001","25","001",""
"botanicals-clo1-dutch-stripe","Dutch Stripe (Clothing)","<p>Dutch Stripe pattern from our Botanicals Clothing collection. Pattern #01-25-001. Customize colors to match your vision perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Fabric","01-25-001-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/dutch-stripe.jpg","","","Dutch Stripe - Botanicals Clothing Collection | ColorFlex Wallpaper","Dutch Stripe pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","dutch-stripe","3","Stripe Bg,Leaf Stripe,Tulips","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-001","25","001",""
"botanicals-clo1-dutch-stripe","Dutch Stripe (Clothing)","<p>Dutch Stripe pattern from our Botanicals Clothing collection. Pattern #01-25-001. Customize colors to match your vision perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Removable Decal","01-25-001-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/dutch-stripe.jpg","","","Dutch Stripe - Botanicals Clothing Collection | ColorFlex Wallpaper","Dutch Stripe pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","dutch-stripe","3","Stripe Bg,Leaf Stripe,Tulips","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-001","25","001",""
"botanicals-clo1-key-largo","Key Largo (Clothing)","<p>Key Largo pattern from our Botanicals Clothing collection. Pattern #01-25-002. Customize colors to match your vision perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Wallpaper","01-25-002-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/key-largo.jpg","1","Key Largo pattern thumbnail","Key Largo - Botanicals Clothing Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-002","25","002",""
"botanicals-clo1-key-largo","Key Largo (Clothing)","<p>Key Largo pattern from our Botanicals Clothing collection. Pattern #01-25-002. Customize colors to match your vision perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Fabric","01-25-002-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/key-largo.jpg","","","Key Largo - Botanicals Clothing Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-002","25","002",""
"botanicals-clo1-key-largo","Key Largo (Clothing)","<p>Key Largo pattern from our Botanicals Clothing collection. Pattern #01-25-002. Customize colors to match your vision perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Removable Decal","01-25-002-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/key-largo.jpg","","","Key Largo - Botanicals Clothing Collection | ColorFlex Wallpaper","Key Largo pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","key-largo","6","Back Leaf,Left Leaves,Right Leaves,Outer Leaves,Right Most,Front Leaf","24x24","half-drop","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-002","25","002",""
"botanicals-clo1-shadow-dance","Shadow Dance (Clothing)","<p>Shadow Dance pattern from our Botanicals Clothing collection. Pattern #01-25-003. Customize colors to match your vision perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Wallpaper","01-25-003-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/shadow-dance.jpg","1","Shadow Dance pattern thumbnail","Shadow Dance - Botanicals Clothing Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","shadow-dance","2","Shadows,Flower","24x24","half-drop","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-003","25","003",""
"botanicals-clo1-shadow-dance","Shadow Dance (Clothing)","<p>Shadow Dance pattern from our Botanicals Clothing collection. Pattern #01-25-003. Customize colors to match your vision perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Fabric","01-25-003-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/shadow-dance.jpg","","","Shadow Dance - Botanicals Clothing Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","shadow-dance","2","Shadows,Flower","24x24","half-drop","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-003","25","003",""
"botanicals-clo1-shadow-dance","Shadow Dance (Clothing)","<p>Shadow Dance pattern from our Botanicals Clothing collection. Pattern #01-25-003. Customize colors to match your vision perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Removable Decal","01-25-003-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/shadow-dance.jpg","","","Shadow Dance - Botanicals Clothing Collection | ColorFlex Wallpaper","Shadow Dance pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","shadow-dance","2","Shadows,Flower","24x24","half-drop","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-003","25","003",""
"botanicals-clo1-tall-lilly-plant","Tall Lilly Plant (Clothing)","<p>Tall Lilly Plant pattern from our Botanicals Clothing collection. Pattern #01-25-004. Customize colors to match your vision perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","botanicals, clothing, pattern, wallpaper, fabric, removable, custom-color, colorflex, dress, hidden, private","TRUE","Application","Wallpaper","01-25-004-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/clothing/botanicals/thumbnails/tall-lilly-plant.jpg","1","Tall Lilly Plant pattern thumbnail","Tall Lilly Plant - Botanicals Clothing Collection | ColorFlex Wallpaper","Tall Lilly Plant pattern from our Botanicals Clothing collection. Customize colors to match your vision perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","botanicals.clo-1","tall-lilly-plant","4","Texture,Plants,Flowers,Flower Centers","24x24","straight","SC0001 COTTAGE LINEN,SW7069 IRON ORE,SW6135 ECRU,SW0043 PERISTYLE BRASS,SW6138 ARTIFACT,SW0042 RUSKIN ROOM GREEN,SW7740 MESSENGER BAG,SW6159 HIGH TEA,SW9145 SLEEPY HOLLOW,SW6242 BRACING BLUE,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW6990 CAVIAR","01-25-004","25","004",""
