"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Variant Inventory Tracker","Variant Inventory Policy","Variant Inventory Qty","Image Src","Image Position","Image Alt Text","SEO Title","SEO Description","product.metafields.color_flex.base_url","product.metafields.color_flex.collection","product.metafields.color_flex.pattern","product.metafields.color_flex.layer_count","product.metafields.color_flex.layer_labels","product.metafields.color_flex.pattern_size","product.metafields.color_flex.tiling_type","product.metafields.color_flex.designer_colors","product.metafields.color_flex.pattern_number","product.metafields.color_flex.collection_sequence","product.metafields.color_flex.pattern_sequence","product.metafields.color_flex.pattern_variant"
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-103-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/keswick.jpg","1","Keswick pattern thumbnail","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Unnamed Layer","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-103-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/keswick.jpg","","","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Unnamed Layer","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-keswick","Keswick","<p>Keswick pattern from our English-cottage collection. Pattern #01-03-103. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-03-103-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/keswick.jpg","","","Keswick - English-cottage Collection | ColorFlex Wallpaper","Keswick pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","keswick","6","Baskets,Flowers & Fruit,Grapes,Flowers,Small Leaves,Unnamed Layer","24x24","straight","SW6990 CAVIAR,SW0043 PERISTYLE BRASS,SW0034 ROYCROFT ROSE,SW0033 REMBRANDT RUBY,SW7697 SAFARI,SW7726 LEMON VERBENA,SW7729 EDAMAME","01-03-103","03","103",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-107. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-107-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/ashbourn.jpg","1","Ashbourn pattern thumbnail","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-107","03","107",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-107. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-107-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/ashbourn.jpg","","","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-107","03","107",""
"english-cottage-ashbourn","Ashbourn","<p>Ashbourn pattern from our English-cottage collection. Pattern #01-03-107. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-03-107-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/ashbourn.jpg","","","Ashbourn - English-cottage Collection | ColorFlex Wallpaper","Ashbourn pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","ashbourn","1","Pattern","24x24","straight","SW6139 HIGH TEA,SW7697 SAFARI","01-03-107","03","107",""
"english-cottage-chippendale","Chippendale","<p>Chippendale pattern from our English-cottage collection. Pattern #01-03-119. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-119-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/chippendale.jpg","1","Chippendale pattern thumbnail","Chippendale - English-cottage Collection | ColorFlex Wallpaper","Chippendale pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","chippendale","10","Credenza,Tiny Flowers,Settee,Chair 1,Chair 2,Chair 3,Vase 1,Vase 2,Vase 3,Tiny Plants","24x24","half-drop","SC0001 COTTAGE LINEN,SW0080 PINK FLAMINGO,SW6610 LUPINE,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW7588 SHOW STOPPER,SW6439 GREENFIELD,SW6558 PLUMMY,SW6558 PLUMMY,SW6395 ALCHEMY,SW6425 RELENTLESS OLIVE","01-03-119","03","119",""
"english-cottage-chippendale","Chippendale","<p>Chippendale pattern from our English-cottage collection. Pattern #01-03-119. Customize colors to match your space perfectly with our ColorFlex system. Available as High-quality fabric suitable for upholstery, curtains, and decor projects.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Fabric","01-03-119-fabric","79.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/chippendale.jpg","","","Chippendale - English-cottage Collection | ColorFlex Wallpaper","Chippendale pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","chippendale","10","Credenza,Tiny Flowers,Settee,Chair 1,Chair 2,Chair 3,Vase 1,Vase 2,Vase 3,Tiny Plants","24x24","half-drop","SC0001 COTTAGE LINEN,SW0080 PINK FLAMINGO,SW6610 LUPINE,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW7588 SHOW STOPPER,SW6439 GREENFIELD,SW6558 PLUMMY,SW6558 PLUMMY,SW6395 ALCHEMY,SW6425 RELENTLESS OLIVE","01-03-119","03","119",""
"english-cottage-chippendale","Chippendale","<p>Chippendale pattern from our English-cottage collection. Pattern #01-03-119. Customize colors to match your space perfectly with our ColorFlex system. Available as Removable vinyl decal perfect for temporary decoration and rental spaces.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Removable Decal","01-03-119-decal","69.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/chippendale.jpg","","","Chippendale - English-cottage Collection | ColorFlex Wallpaper","Chippendale pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","chippendale","10","Credenza,Tiny Flowers,Settee,Chair 1,Chair 2,Chair 3,Vase 1,Vase 2,Vase 3,Tiny Plants","24x24","half-drop","SC0001 COTTAGE LINEN,SW0080 PINK FLAMINGO,SW6610 LUPINE,SW6811 HONORABLE BLUE,SW6810 LUPINE,SW7588 SHOW STOPPER,SW6439 GREENFIELD,SW6558 PLUMMY,SW6558 PLUMMY,SW6395 ALCHEMY,SW6425 RELENTLESS OLIVE","01-03-119","03","119",""
"english-cottage-canterbury","Canterbury","<p>Canterbury pattern from our English-cottage collection. Pattern #01-03-116. Customize colors to match your space perfectly with our ColorFlex system. Available as Professional-grade removable wallpaper. Easy to install and remove without damage.</p>","Saffron Cottage","Home & Garden > Decor","ColorFlex Pattern","english-cottage, pattern, wallpaper, fabric, removable, custom-color, colorflex","TRUE","Application","Wallpaper","01-03-116-wallpaper","89.99","","TRUE","TRUE","","","continue","","https://so-animation.com/colorflex/data/collections/english-cottage/thumbnails/canterbury.jpg","1","Canterbury pattern thumbnail","Canterbury - English-cottage Collection | ColorFlex Wallpaper","Canterbury pattern from our English-cottage collection. Customize colors to match your space perfectly with our ColorFlex system. Available for wallpaper, fabric, and other applications.","https://so-animation.com/colorflex/data/collections/","english-cottage","canterbury","4","24x20 Frame Design,24x20 Fine Line,24x20 Leaves,24x20 Pinecone","24x20","straight","SW7069 IRON ORE,SW6214 UNDERSEAS,SW6158 SAWDUST,SW7726 LEMON VERBENA,SW0043 PERISTYLE BRASS","01-03-116","03","116",""
